"x"
"1","survey"
"mode","Freq"
"1","1",6943838.16068927
"2","2",1281283.77363573
"3","3",58355375.0812459
"4","4",25365160.5552701
"5","5",19843682.3495419
"6","6",8937640.83028766
"7","8",2246586.55786556
"8","9",587309.778434007
"mode","Freq"
"1","1",2098062.00731086
"2","2",226681.713601467
"3","3",6872750.48568503
"4","4",3708325.22300438
"5","5",2658458.04560717
"6","6",829651.552631023
"7","8",367477.025235698
"8","9",81229.1905168274
"mode","Freq"
"1","1",3.30964391733558
"2","2",5.65234730794553
"3","3",8.49083277543568
"4","4",6.84005825538676
"5","5",7.46435791316383
"6","6",10.7727645442768
"7","8",6.11354289815699
"8","9",7.23027983779231
"x"
"1","survey_in"
"mode","Freq"
"1","1",205629.734416936
"2","2",104293.70241406
"3","3",4856864.40717682
"4","4",2369759.47132251
"5","5",1441113.2449491
"6","6",1149502.34107059
"7","8",120797.789825472
"8","9",39703.1539851164
"mode","Freq"
"1","1",202187.725199917
"2","2",20800.6455364238
"3","3",768921.789099453
"4","4",497243.172474483
"5","5",275571.692464357
"6","6",102310.650494248
"7","8",36032.353997052
"8","9",9466.0309898418
"mode","Freq"
"1","1",1.01702382878889
"2","2",5.01396469794328
"3","3",6.31646088851909
"4","4",4.76579589726619
"5","5",5.22954020444425
"6","6",11.2354123008456
"7","8",3.35248121272774
"8","9",4.19427678059819
"x"
"1","survey_out"
"mode","Freq"
"1","1",6738208.42627233
"2","2",1176990.07122167
"3","3",53498510.6740691
"4","4",22995401.0839476
"5","5",18402569.1045928
"6","6",7788138.48921707
"7","8",2125788.76804009
"8","9",547606.624448891
"mode","Freq"
"1","1",1895874.28211094
"2","2",205881.068065043
"3","3",6103828.69658558
"4","4",3211082.0505299
"5","5",2382886.35314281
"6","6",727340.902136774
"7","8",331444.671238646
"8","9",71763.1595269856
"mode","Freq"
"1","1",3.55414306204404
"2","2",5.71684459520012
"3","3",8.76474641301707
"4","4",7.16126237887718
"5","5",7.72280603324682
"6","6",10.7076866794335
"7","8",6.41370627590957
"8","9",7.63074853529784
"x"
"1","soundcast"
"mode","Freq"
"1","1",4094078.27686816
"2","2",162379.398146848
