fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 4.161 0 0 -1 300038 0 761426 0 0 1 773 1 0 0 -1 -1 3 1690
0 0 0 12.69 0 0 -1 300281 0 1197790 0 0 1 64 1 1 0 -1 -1 2 1592
0 0 0 169.878 0 0 -1 300339 0 876549 0 0 1 352 1 2 0 -1 -1 3 1511
0 0 0 10.346 0 0 -1 300616 0 734609 0 0 1 911 1 2 0 -1 -1 3 1795
0 0 0 169.878 0 0 -1 300620 0 959090 0 0 1 365 1 0 0 -1 -1 3 1527
0 0 0 169.878 0 0 -1 300782 0 804264 0 0 1 905 1 1 0 -1 -1 3 1769
0 0 0 169.878 0 0 -1 300831 0 959090 0 0 1 365 1 1 0 -1 -1 3 1527
0 0 0 19.977 0 0 -1 300984 0 717267 0 0 1 286 1 0 0 -1 -1 1 1525
0 0 0 42.828 0 0 -1 301089 0 2099 0 0 1 406 1 0 0 -1 -1 1 1505
0 0 0 565.822 0 0 -1 301826 0 886916 0 0 1 1044 1 1 0 -1 -1 2 1676
0 0 0 4.11 0 0 -1 302047 0 877387 0 0 1 890 1 1 0 -1 -1 3 1736
0 0 0 4.11 0 0 -1 302095 0 1053636 0 0 1 917 1 1 0 -1 -1 3 1799
0 0 0 13.348 0 0 -1 302159 0 865757 0 0 1 514 1 1 0 -1 -1 2 1465
0 0 0 19.977 0 0 -1 302187 0 1235910 0 0 1 546 1 0 0 -1 -1 1 1451
0 0 0 4.443 0 0 -1 302214 0 675022 0 0 1 28 1 1 0 -1 -1 3 1549
0 0 0 4.11 0 0 -1 302269 0 848652 0 0 1 499 1 2 0 -1 -1 3 1470
0 0 0 14.43 0 0 -1 302649 0 860578 0 0 1 23 1 1 0 -1 -1 2 1549
0 0 0 12.24 0 0 -1 302851 0 899011 0 0 1 839 1 1 0 -1 -1 2 1754
0 0 0 4.11 0 0 -1 302886 0 858288 0 0 1 480 1 1 0 -1 -1 3 1504
0 0 0 12.247 0 0 -1 302950 0 717377 0 0 1 129 1 2 0 -1 -1 2 1610
0 0 0 3.675 0 0 -1 302956 0 1086535 0 0 1 123 1 1 0 -1 -1 3 1629
0 0 0 4.443 0 0 -1 303151 0 1177440 0 0 1 578 1 1 0 -1 -1 3 1468
0 0 0 12.589 0 0 -1 303395 0 958689 0 0 1 650 1 1 0 -1 -1 2 1425
0 0 0 3.675 0 0 -1 303418 0 1201490 0 0 1 744 1 1 0 -1 -1 3 1637
0 0 0 4.11 0 0 -1 303507 0 1178489 0 0 1 918 1 1 0 -1 -1 3 1794
0 0 0 3.675 0 0 -1 303533 0 688665 0 0 1 1139 1 1 0 -1 -1 3 1674
0 0 0 12.24 0 0 -1 303535 0 909225 0 0 1 1003 1 1 0 -1 -1 2 1657
0 0 0 4.11 0 0 -1 303545 0 733459 0 0 1 515 1 1 0 -1 -1 3 1465
0 0 0 12.24 0 0 -1 303635 0 2255 0 0 1 747 1 1 0 -1 -1 2 1663
0 0 0 12.077 0 0 -1 303668 0 1202610 0 0 1 435 1 1 0 -1 -1 2 1549
0 0 0 3.675 0 0 -1 303751 0 1176763 0 0 1 578 1 1 0 -1 -1 3 1456
0 0 0 4.443 0 0 -1 303782 0 1082909 0 0 1 598 1 0 0 -1 -1 3 1423
0 0 0 4.11 0 0 -1 303814 0 1201935 0 0 1 352 1 2 0 -1 -1 3 1511
0 0 0 12.077 0 0 -1 303819 0 1031435 0 0 1 41 1 1 0 -1 -1 2 1547
0 0 0 4.443 0 0 -1 303859 0 1034845 0 0 1 53 1 1 0 -1 -1 3 1544
0 0 0 3.675 0 0 -1 303949 0 766290 0 0 1 1094 1 0 0 -1 -1 3 1648
0 0 0 4.443 0 0 -1 304014 0 805864 0 0 1 53 1 0 0 -1 -1 3 1544
0 0 0 4.443 0 0 -1 304048 0 1072079 0 0 1 903 1 0 0 -1 -1 3 1762
0 0 0 4.11 0 0 -1 304109 0 886219 0 0 1 222 1 1 0 -1 -1 3 1567
0 0 0 13.506 0 0 -1 304125 0 693911 0 0 1 16 1 1 0 -1 -1 2 1543
0 0 0 4.443 0 0 -1 304138 0 853398 0 0 1 588 1 2 0 -1 -1 3 1466
0 0 0 12.24 0 0 -1 304172 0 682196 0 0 1 1149 1 1 0 -1 -1 2 1908
0 0 0 13.506 0 0 -1 304254 0 1191273 0 0 1 505 1 1 0 -1 -1 2 1467
0 1 0 459.3357 1 0 30000 14100211 1 1206643 0 0 3 266 0 2 1 1 1 0 1573
0 1 0 307.1527 1 0 -1 14100212 1 939375 0 0 3 255 0 1 1 5 8 0 1575
0 0 0 235.8108 1 0 175000 14100213 0 934365 1 0 2 400 0 3 2 1 1 0 1531
0 0 0 254.6753 0 0 -1 14100214 0 1252435 0 2 2 370 0 2 0 1 2 0 1563
0 0 0 168.4641 0 0 17500 14100216 1 879886 0 0 1 130 0 0 0 2 5 0 1612
0 0 0 121.9057 1 0 175000 14100217 0 742562 0 0 1 38 0 0 1 2 5 0 1550
0 2 0 120.8995 1 0 125000 14100238 1 984962 0 0 4 818 0 2 1 1 1 0 1719
0 0 0 144.6984 0 0 62500 14100239 1 879479 0 0 1 784 0 1 0 1 1 0 1696
0 0 0 220.6939 1 0 40000 14100247 0 955563 0 0 1 961 0 1 1 2 5 0 1622
0 0 0 205.5457 1 0 -1 14100248 0 1177256 1 0 2 510 0 1 2 1 4 0 1467
0 0 0 130.3226 0 0 30000 14100249 0 796815 0 1 1 513 0 1 0 1 5 0 1467
0 0 0 96.1472 1 0 40000 14100272 1 878466 0 0 2 861 0 1 1 1 1 0 1728
0 0 0 114.5724 1 0 175000 14100276 0 1125873 0 0 1 1037 0 1 1 2 2 0 1673
0 0 0 469.4584 0 0 40000 14100294 0 746736 0 2 2 916 0 1 0 1 1 0 1813
0 0 0 248.2759 1 0 125000 14100295 0 871448 1 0 2 912 0 3 2 1 1 0 1771
