hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
14106094 14122 30 -1 2 1 -1 1 1 -1.0 -1.0 110.5695 0 -1 0 3 -1 -1 -1 0.420497348485 5 932558 36 1
14106093 14121 50 -1 1 1 0 1 1 -1.0 -1.0 73.1214 0 -1 0 4 -1 -1 -1 14.89 33 829672 1257 1
14106092 14118 50 -1 1 1 -1 1 1 -1.0 -1.0 178.5999 0 -1 0 0 -1 -1 -1 29.14 62 1114485 1245 1
14106092 14119 50 -1 2 2 1 1 4 -1.0 -1.0 178.5999 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106092 14120 8 -1 2 3 1 1 7 2.42888308081 10.7149770359 178.5999 167553 1293 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106091 14116 60 -1 2 1 -1 1 1 -1.0 -1.0 1226.8197 0 -1 0 5 -1 -1 -1 28.4 58 768992 1274 1
14106091 14117 40 -1 1 2 -1 2 1 -1.0 -1.0 1226.8197 0 -1 0 5 -1 -1 -1 19.155 33 170312 1280 1
14106090 14114 30 -1 2 1 0 1 1 -1.0 -1.0 117.574 0 -1 0 3 -1 -1 -1 30.42 66 804657 1237 1
14106090 14115 30 -1 1 2 -1 2 1 -1.0 -1.0 117.574 0 -1 0 3 -1 -1 -1 7.245 22 126605 1281 1
14106089 14112 50 -1 1 1 -1 1 1 -1.0 -1.0 174.1818 0 -1 0 0 -1 -1 -1 2.00618383838 10 721484 1273 1
14106089 14113 50 -1 2 2 -1 1 1 -1.0 -1.0 174.1818 0 -1 0 4 -1 -1 -1 13.77 33 735369 1249 1
14106088 14109 60 -1 2 1 -1 1 2 -1.0 -1.0 474.2601 0 -1 0 0 -1 -1 -1 2.38347348485 9 229203 1275 2
14106088 14110 60 -1 1 2 1 1 4 -1.0 -1.0 474.2601 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106088 14111 21 -1 1 3 1 1 4 -1.0 -1.0 474.2601 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106087 14107 50 -1 1 1 -1 2 1 -1.0 -1.0 249.5401 0 -1 0 0 -1 -1 -1 3.14 11 212481 1279 1
14106087 14108 50 -1 2 2 -1 1 1 -1.0 -1.0 249.5401 0 -1 0 0 -1 -1 -1 11.625 35 704982 1343 1
14106086 14105 70 -1 1 1 1 1 3 -1.0 -1.0 186.992 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106086 14106 70 -1 2 2 1 2 3 -1.0 -1.0 186.992 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106085 14104 80 -1 2 1 1 1 3 -1.0 -1.0 469.5052 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106084 14099 50 -1 2 1 -1 1 1 -1.0 -1.0 1018.2225 0 -1 0 0 -1 -1 -1 16.01 35 997256 810 1
14106084 14100 60 -1 1 2 1 2 4 -1.0 -1.0 1018.2225 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106084 14101 70 -1 1 3 1 3 3 -1.0 -1.0 1018.2225 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106084 14102 70 -1 2 4 1 2 3 -1.0 -1.0 1018.2225 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106084 14103 8 -1 1 5 1 3 7 2.39583030303 8.22853621934 1018.2225 195222 1279 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106083 14098 60 -1 2 1 0 1 1 -1.0 -1.0 78.4034 0 -1 0 4 -1 -1 -1 20.865 57 797163 1259 1
14106082 14096 80 -1 2 1 0 1 2 -1.0 -1.0 202.0912 0 -1 0 0 -1 -1 -1 2.56681136364 9 585190 1354 2
14106082 14097 80 -1 1 2 1 2 3 -1.0 -1.0 202.0912 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106081 14095 90 -1 2 1 1 1 3 -1.0 -1.0 454.0401 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106080 14093 60 -1 2 1 1 1 4 -1.0 -1.0 251.7142 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106080 14094 60 -1 1 2 0 2 1 -1.0 -1.0 251.7142 0 -1 0 0 -1 -1 -1 14.02 44 196 1319 1
14106079 14091 30 -1 2 1 -1 1 1 -1.0 -1.0 266.7558 0 -1 0 0 -1 -1 -1 3.99 11 431131 1351 1
14106079 14092 50 -1 1 2 -1 1 1 -1.0 -1.0 266.7558 0 -1 0 0 -1 -1 -1 3.99 11 431131 1351 1
14106078 14089 70 -1 1 1 1 1 3 -1.0 -1.0 157.6155 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106078 14090 70 -1 2 2 1 3 3 -1.0 -1.0 157.6155 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106077 14085 40 -1 2 1 0 1 2 -1.0 -1.0 487.5247 0 -1 0 0 -1 -1 -1 5.19 15 580626 1320 2
14106077 14086 40 -1 1 2 0 1 1 -1.0 -1.0 487.5247 0 -1 0 0 -1 -1 -1 6.68 22 480040 1352 1
14106077 14087 8 -1 2 3 1 2 7 5.035 15.17 487.5247 573100 1320 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106077 14088 8 -1 1 4 1 2 7 5.035 15.17 487.5247 573100 1320 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106076 14083 60 -1 1 1 1 2 4 -1.0 -1.0 418.6806 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106076 14084 60 -1 2 2 1 1 1 -1.0 -1.0 418.6806 0 -1 0 0 -1 -1 -1 9.48 24 410822 1323 1
14106075 14079 40 -1 1 1 0 1 1 -1.0 -1.0 779.1919 0 -1 0 0 -1 -1 -1 2.13300833333 7 173496 1280 1
14106075 14080 40 -1 2 2 1 2 4 -1.0 -1.0 779.1919 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106075 14081 14 -1 2 3 1 3 7 0.8328 3.89411111111 779.1919 173870 1280 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106075 14082 8 -1 1 4 1 3 7 0.441287878788 4.31201298701 779.1919 173847 1280 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106074 14077 70 -1 2 1 1 1 3 -1.0 -1.0 335.0391 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106074 14078 80 -1 1 2 1 1 3 -1.0 -1.0 335.0391 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106073 14076 70 -1 2 1 1 1 3 -1.0 -1.0 163.592 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106072 14075 70 -1 2 1 1 1 3 -1.0 -1.0 319.0814 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106071 14069 60 -1 2 1 1 1 4 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106071 14070 60 -1 1 2 -1 2 1 -1.0 -1.0 934.5281 0 -1 0 4 -1 -1 -1 34.995 77 943564 1335 1
14106071 14071 30 -1 2 3 -1 3 2 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 17.47 39 719433 1325 2
14106071 14072 30 -1 2 4 -1 3 1 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 21.47 52 1124157 1327 1
14106071 14073 30 -1 1 5 0 1 1 -1.0 -1.0 934.5281 0 -1 0 5 -1 -1 -1 28.18 64 947318 1330 1
14106071 14074 21 -1 2 6 1 2 4 -1.0 -1.0 934.5281 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106070 14068 50 -1 1 1 1 1 4 -1.0 -1.0 332.5451 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106069 14065 50 -1 2 1 -1 1 2 -1.0 -1.0 450.9153 0 -1 0 0 -1 -1 -1 0.0568181818182 0 357240 1346 2
14106069 14066 50 -1 1 2 0 3 1 -1.0 -1.0 450.9153 0 -1 0 4 -1 -1 -1 58.14 111 735366 1249 1
14106069 14067 17 -1 2 3 1 3 6 6.21 17.065 450.9153 340181 1346 1 6 -1 -1 -1 -1.0 -1 0 -1 0
14106068 14064 50 -1 1 1 -1 1 1 -1.0 -1.0 396.8798 0 -1 0 0 -1 -1 -1 6.425 19 431133 1323 1
14106067 14062 21 -1 2 1 0 1 1 -1.0 -1.0 268.1232 0 -1 0 4 -1 -1 -1 19.375 43 828975 1251 1
14106067 14063 30 -1 1 2 1 1 2 -1.0 -1.0 268.1232 0 -1 2 0 -1 -1 -1 -1.0 -1 0 -1 2
14106066 14059 30 -1 2 1 -1 1 1 -1.0 -1.0 470.5833 0 -1 0 0 -1 -1 -1 9.7 19 662405 1351 1
14106066 14060 40 -1 1 2 1 3 1 -1.0 -1.0 470.5833 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106066 14061 8 -1 1 3 1 3 7 1.98586666667 7.56381568627 470.5833 401857 1322 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106065 14058 21 -1 1 1 -1 1 1 -1.0 -1.0 348.8189 0 -1 0 5 -1 -1 -1 14.195 26 280652 1347 1
14106064 14055 30 -1 2 1 -1 1 2 -1.0 -1.0 419.9198 0 -1 0 0 -1 -1 -1 5.885 20 487239 1323 2
14106064 14056 70 -1 1 2 1 1 3 -1.0 -1.0 419.9198 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106064 14057 8 -1 1 3 1 1 7 0.851982828283 11.0225278409 419.9198 427648 1323 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106063 14053 70 -1 1 1 0 1 1 -1.0 -1.0 105.004 0 -1 0 0 -1 -1 -1 0.0568181818182 0 1076712 1308 1
14106063 14054 60 -1 2 2 -1 3 1 -1.0 -1.0 105.004 0 -1 0 0 -1 -1 -1 1.78209015152 7 1148207 1303 1
14106062 14052 70 -1 2 1 -1 1 1 -1.0 -1.0 407.4941 0 -1 0 0 -1 -1 -1 0.718467045455 5 1191694 1317 1
14106061 14050 60 -1 2 1 -1 1 1 -1.0 -1.0 294.0266 0 -1 0 0 -1 -1 -1 24.925 41 3020 1319 1
14106061 14051 90 -1 2 2 1 2 3 -1.0 -1.0 294.0266 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106060 14049 70 -1 1 1 1 1 3 -1.0 -1.0 398.2326 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106059 14047 60 -1 2 1 0 1 1 -1.0 -1.0 174.8373 0 -1 0 0 -1 -1 -1 7.92 18 196314 1278 1
14106059 14048 21 -1 2 2 0 1 1 -1.0 -1.0 174.8373 0 -1 0 0 -1 -1 -1 1.81586414141 6 129804 1278 1
14106058 14044 40 -1 1 1 0 1 1 -1.0 -1.0 271.7649 0 -1 0 0 -1 -1 -1 21.95 50 126623 1281 1
14106058 14045 40 -1 2 2 1 1 2 -1.0 -1.0 271.7649 0 -1 0 5 -1 -1 -1 -1.0 -1 0 -1 2
14106058 14046 2 -1 2 3 1 -1 8 -1.0 -1.0 271.7649 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106057 14042 50 -1 2 1 0 1 1 -1.0 -1.0 227.4254 0 -1 0 5 -1 -1 -1 7.35 25 1186299 1254 1
14106057 14043 14 -1 2 2 1 3 7 7.59 27.735 227.4254 829697 1340 1 1 -1 -1 -1 -1.0 -1 0 -1 0
14106056 14041 60 -1 1 1 -1 1 1 -1.0 -1.0 487.7578 0 -1 0 5 -1 -1 -1 21.115 40 212481 1279 1
14106055 14037 30 -1 1 1 -1 2 1 -1.0 -1.0 916.4031 0 -1 0 0 -1 -1 -1 14.46 31 121371 1281 1
14106055 14038 30 -1 2 2 -1 1 2 -1.0 -1.0 916.4031 0 -1 0 0 -1 -1 -1 10.17 19 152777 1278 2
14106055 14039 2 -1 1 3 1 -1 8 2.80430606061 8.41799844642 916.4031 73530 1289 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106055 14040 2 -1 1 4 1 -1 8 -1.0 -1.0 916.4031 0 -1 1 0 -1 -1 -1 -1.0 -1 0 -1 0
14106054 14034 40 -1 2 1 -1 2 1 -1.0 -1.0 256.8755 0 -1 0 0 -1 -1 -1 8.175 19 103661 1282 1
14106054 14035 40 -1 1 2 -1 1 1 5.985 15.46 256.8755 104755 1282 2 0 -1 -1 -1 44.815 89 701548 1335 1
14106054 14036 8 -1 1 3 1 2 7 1.86516742424 7.49298695432 256.8755 52978 1287 1 -1 -1 -1 -1 -1.0 -1 0 -1 0
14106053 14033 21 -1 1 1 -1 1 5 -1.0 -1.0 937.1594 0 -1 1 0 -1 -1 -1 8.875 26 126623 1281 1
14106052 14031 60 -1 1 1 -1 1 1 -1.0 -1.0 173.3905 0 -1 0 0 -1 -1 -1 32.485 67 1101026 1327 1
14106052 14032 60 -1 2 2 1 2 4 -1.0 -1.0 173.3905 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106051 14029 40 -1 1 1 -1 1 1 -1.0 -1.0 115.1794 0 -1 0 0 -1 -1 -1 17.585 47 829725 1256 1
14106051 14030 40 -1 2 2 1 2 4 -1.0 -1.0 115.1794 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 0
14106050 14027 60 -1 1 1 1 1 1 -1.0 -1.0 343.9912 0 -1 0 0 -1 -1 -1 -1.0 -1 0 -1 1
14106050 14028 60 -1 2 2 -1 1 1 -1.0 -1.0 343.9912 0 -1 0 0 -1 -1 -1 13.515 35 1100163 183 1
14106049 14024 60 -1 2 1 -1 1 1 -1.0 -1.0 2169.9855 0 -1 0 0 -1 -1 -1 7.32 21 913970 809 1
14106049 14025 21 -1 2 2 1 1 4 7.445 21.29 2169.9855 903885 800 2 0 -1 -1 -1 -1.0 -1 0 -1 0
14106049 14026 21 -1 1 3 0 1 1 -1.0 -1.0 2169.9855 0 -1 0 0 -1 -1 -1 11.21 33 714313 1108 1
14106048 14022 40 -1 1 1 -1 3 1 -1.0 -1.0 190.3717 0 -1 0 3 -1 -1 -1 17.625 44 1067461 947 1
14106048 14023 40 -1 2 2 -1 1 2 -1.0 -1.0 190.3717 0 -1 0 0 -1 -1 -1 4.92 13 146407 1278 2
