hhno id pagey pdiary pgend pno ppaidprk pproxy pptyp psaudist psautime psexpfac pspcl pstaz pstyp ptpass puwarrp puwdepp puwmode pwaudist pwautime pwpcl pwtaz pwtyp
300038 18 21 -1 2 1 1 -1 5 18 41 4.161 1078364 1253 1 -1 -1 -1 -1 -1 -1 0 -1 0
300281 89 30 -1 2 1 1 -1 5 19 41 12.69 932775 1269 1 -1 -1 -1 -1 -1 -1 0 -1 0
300339 112 21 -1 1 1 1 -1 5 0 7 169.878 740439 351 1 -1 -1 -1 -1 -1 -1 0 -1 0
300616 202 21 -1 1 1 1 -1 5 21 34 10.346 104918 1282 1 -1 -1 -1 -1 -1 -1 0 -1 0
300620 203 21 -1 1 1 1 -1 5 1 8 169.878 740439 351 1 -1 -1 -1 -1 -1 -1 0 -1 0
300782 222 30 -1 2 1 1 -1 5 9 23 169.878 932516 35 1 -1 -1 -1 -1 -1 -1 0 -1 0
300831 238 21 -1 2 1 1 -1 5 2 6 169.878 749154 347 1 -1 -1 -1 -1 -1 -1 0 -1 0
300984 264 21 -1 2 1 1 -1 5 18 39 19.977 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
301089 277 21 -1 1 1 1 -1 5 25 48 42.828 795018 1317 1 -1 -1 -1 -1 -1 -1 0 -1 0
301826 432 30 -1 2 1 1 -1 5 7 19 565.822 740439 351 1 -1 -1 -1 -1 -1 -1 0 -1 0
302047 570 21 -1 1 1 1 -1 5 16 45 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302095 593 21 -1 2 1 1 -1 5 13 40 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302159 634 21 -1 2 1 1 -1 5 15 37 13.348 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302187 656 21 -1 2 1 1 -1 5 14 35 19.977 1161597 1245 1 -1 -1 -1 -1 -1 -1 0 -1 0
302214 674 21 -1 2 1 1 -1 5 0 7 4.443 789531 43 1 -1 -1 -1 -1 -1 -1 0 -1 0
302269 713 21 -1 2 1 1 -1 5 15 35 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302649 932 21 -1 1 1 1 -1 5 16 38 14.43 751791 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302851 1018 30 -1 2 1 1 -1 5 2 7 12.24 679918 916 1 -1 -1 -1 -1 -1 -1 0 -1 0
302886 1035 30 -1 2 1 1 -1 5 16 37 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302950 1073 40 -1 1 1 1 -1 5 19 43 12.247 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
302956 1076 30 -1 1 1 1 -1 5 2 6 3.675 886193 215 1 -1 -1 -1 -1 -1 -1 0 -1 0
303151 1186 30 -1 1 1 1 -1 5 17 39 4.443 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303395 1297 30 -1 1 1 1 -1 5 18 40 12.589 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303418 1308 30 -1 2 1 1 -1 5 20 46 3.675 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303507 1362 60 -1 2 1 1 -1 5 15 42 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303533 1379 30 -1 1 1 1 -1 5 23 49 3.675 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303535 1381 30 -1 2 1 1 -1 5 22 47 12.24 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303545 1385 21 -1 1 1 1 -1 5 15 36 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303635 1419 21 -1 3 1 1 -1 5 20 47 12.24 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303668 1437 30 -1 2 1 1 -1 5 15 35 12.077 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303751 1479 70 -1 1 1 1 -1 5 17 39 3.675 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303782 1495 21 -1 1 1 1 -1 5 18 39 4.443 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303814 1513 30 -1 2 1 1 -1 5 16 39 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303819 1516 21 -1 2 1 1 -1 5 12 34 12.077 1219745 1253 1 -1 -1 -1 -1 -1 -1 0 -1 0
303859 1538 21 -1 2 1 1 -1 5 16 37 4.443 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
303949 1591 30 -1 2 1 1 -1 5 21 45 3.675 1100847 1248 1 -1 -1 -1 -1 -1 -1 0 -1 0
304014 1628 21 -1 2 1 1 -1 5 16 37 4.443 751731 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
304048 1652 30 -1 2 1 1 -1 5 12 38 4.443 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
304109 1695 21 -1 2 1 1 -1 5 19 44 4.11 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
304125 1706 21 -1 1 1 1 -1 5 16 39 13.506 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
304138 1714 21 -1 1 1 1 -1 5 16 37 4.443 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
304172 1735 30 -1 2 1 1 -1 5 25 49 12.24 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
304254 1789 21 -1 1 1 1 -1 5 15 36 13.506 797163 1259 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100211 2315 50 -1 1 1 1 1 4 -1 -1 459.3357 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100211 2316 50 -1 2 2 -1 1 1 -1 -1 459.3357 0 -1 0 0 -1 -1 -1 15 32 236628 1277 1
14100211 2317 8 -1 1 3 1 2 7 1 2 459.3357 874768 264 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100212 2318 40 -1 2 1 1 2 4 -1 -1 307.1527 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100212 2319 40 -1 1 2 0 1 1 -1 -1 307.1527 0 -1 0 0 -1 -1 -1 2 48 1067461 947 1
14100212 2320 14 -1 1 3 1 3 7 1 3 307.1527 886182 216 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100213 2321 50 -1 1 1 1 1 1 -1 -1 235.8108 0 -1 0 0 -1 -1 -1 11 20 840380 1301 1
14100213 2322 30 -1 2 2 -1 1 2 -1 -1 235.8108 0 -1 0 0 -1 -1 -1 2 6 685804 101 2
14100214 2324 80 -1 2 2 1 3 3 -1 -1 254.6753 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100214 2323 80 -1 1 1 1 1 3 -1 -1 254.6753 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100216 2327 60 -1 1 1 1 1 4 -1 -1 168.4641 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100217 2328 30 -1 1 1 1 1 1 -1 -1 121.9057 0 -1 0 3 -1 -1 -1 4 53 1067461 947 1
14100238 2365 8 -1 2 4 1 3 7 1 2 120.8995 920037 850 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100238 2362 50 -1 2 1 1 1 4 -1 -1 120.8995 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100238 2364 8 -1 1 3 1 2 7 3 7 120.8995 841216 895 1 -1 -1 -1 -1 -1 -1 0 -1 0
14100238 2363 40 -1 1 2 1 3 1 -1 -1 120.8995 0 -1 0 4 -1 -1 -1 9 18 717080 476 1
14100239 2366 60 -1 2 1 1 1 4 -1 -1 144.6984 0 -1 0 0 -1 -1 -1 -1 -1 0 -1 0
14100247 2382 60 -1 1 1 1 1 1 -1 -1 220.6939 0 -1 0 4 -1 -1 -1 18 41 829674 1257 1
14100248 2384 30 -1 1 2 -1 3 1 -1 -1 205.5457 0 -1 0 0 -1 -1 -1 36 65 495736 1323 1
