day fhtindx1 fhtindx2 hhno id jtindex parent pdpurp person_day_id person_id phtindx1 phtindx2 pno subtrs tardest tarorig tautocost tautodist tautotime tdadtyp tdpcl tdtaz tlvdest tlvorig tmodetp toadtyp toexpfac topcl totaz tour tpathtp tripsh1 tripsh2
1 0 0 14106094 0 0 0 1 14122 14122 0 0 1 1 480 1160 0.076928030303 0.0 7.0 2 932558 36 845 470 6 1 143.613833567 1067080 44 1 3 2 8
1 0 0 14106094 1 0 1 6 14122 14122 0 0 1 0 705 740 0.151253888889 0.0 7.0 3 1051474 19 735 700 3 2 143.613833567 932558 36 2 1 2 2
1 0 0 14106093 2 0 0 1 14121 14121 0 0 1 1 525 1105 5.09 16.0 36.0 2 829672 1257 1025 465 6 1 85.5353905136 1273092 87 1 3 2 2
1 0 0 14106093 3 0 1 1 14121 14121 0 0 1 0 690 810 0.17094114899 4.0 18.0 4 716839 1256 790 670 4 2 85.5353905136 829672 1257 2 1 2 2
1 0 0 14106093 4 0 0 7 14121 14121 0 0 1 0 1235 1335 0.449523030303 1.0 4.0 4 1113282 705 1320 1125 4 1 85.5353905136 1273092 87 3 1 4 2
1 0 0 14106092 5 0 0 4 14118 14118 0 0 1 0 630 975 4.289 21.0 46.0 4 1273364 1258 780 570 5 1 209.469846315 162183 1293 1 1 2 4
1 0 0 14106092 6 0 0 4 14119 14119 0 0 2 0 630 975 4.289 21.0 46.0 4 1273364 1258 780 570 5 1 215.347681732 162183 1293 1 1 2 4
1 0 0 14106092 7 0 0 4 14120 14120 0 0 3 0 630 975 4.289 21.0 46.0 4 1273364 1258 780 570 5 1 223.249875 162183 1293 1 1 2 4
1 0 0 14106091 8 0 0 1 14116 14116 0 0 1 0 420 1265 5.68 31.0 56.0 2 768992 1274 1065 310 7 1 1463.66335998 52300 1287 1 3 2 8
1 0 0 14106091 9 0 0 1 14117 14117 0 0 2 0 330 1125 3.831 16.0 33.0 2 170312 1280 990 295 3 1 1454.19509098 52300 1287 1 1 4 4
1 0 0 14106089 10 0 0 1 14112 14112 0 0 1 0 485 760 0.405207575758 4.0 18.0 2 721484 1273 730 480 3 1 206.464176031 248198 1275 1 1 2 4
1 0 0 14106089 11 0 0 1 14112 14112 0 0 1 0 775 1260 0.405207575758 4.0 18.0 2 721484 1273 1040 770 4 1 206.464176031 248198 1275 2 1 2 4
1 0 0 14106089 12 0 0 1 14113 14113 0 0 2 0 375 1260 2.767 16.0 43.0 2 735369 1249 960 340 6 1 207.808464956 248198 1275 1 3 2 4
1 0 0 14106088 13 0 0 1 14109 14109 0 0 1 0 415 870 0.388245 2.0 13.0 2 229203 1275 855 405 3 1 565.818376954 242480 1275 1 1 2 2
