day fhtindx1 fhtindx2 hhno id jtindex parent pdpurp person_day_id person_id phtindx1 phtindx2 pno subtrs tardest tarorig tautocost tautodist tautotime tdadtyp tdpcl tdtaz tlvdest tlvorig tmodetp toadtyp toexpfac topcl totaz tour tpathtp tripsh1 tripsh2
1 0 0 300281 19154 0 0 1 89 89 0 0 1 0 585 830 0.511951111111 2 5 4 932537 453 810 570 3 1 15.8625 1197790 64 1 1 2 2
1 0 0 300339 19124 0 0 7 112 112 0 0 1 0 840 925 0.512551767677 2 6 4 1041058 282 900 780 4 1 212.3475 876549 352 1 1 4 4
1 0 0 300616 19016 0 0 1 202 202 0 0 1 0 970 1435 2.075 12 26 4 216946 1279 1410 885 3 1 12.9325 734609 911 1 1 4 2
1 0 0 300616 19015 0 0 2 202 202 0 0 1 0 540 865 4.528 21 31 2 104918 1282 715 510 3 1 12.9325 734609 911 2 1 2 6
1 0 0 300620 19014 0 0 2 203 203 0 0 1 0 750 1200 0.392381969697 1 7 2 740439 351 1185 730 6 1 212.3475 959090 365 1 3 2 2
1 0 0 300782 18995 0 0 2 222 222 0 0 1 0 510 1325 2.682 13 31 2 740439 351 705 450 7 1 212.3475 804264 905 1 3 4 8
1 0 0 300831 18976 0 0 2 238 238 0 0 1 0 825 1260 0.392381969697 1 7 2 740439 351 1170 340 5 1 212.3475 959090 365 1 1 10 4
1 0 0 301826 18800 0 0 2 432 432 0 0 1 0 505 1170 1.525 7 19 2 740439 351 630 490 3 1 707.2775 886916 1044 1 1 2 6
1 0 0 302047 18573 0 0 6 570 570 0 0 1 0 970 1025 1.006 4 12 4 714644 917 1005 950 4 1 5.1375 877387 890 1 1 2 2
1 0 0 302095 18531 0 0 2 593 593 0 0 1 0 440 1140 2.639 13 40 2 797163 1259 1065 390 6 1 5.1375 1053636 917 1 3 2 4
1 0 0 302187 18444 0 0 5 656 656 0 0 1 0 1100 1255 2.818 15 33 4 828909 1248 1185 1080 6 1 24.97125 1235910 546 1 3 2 4
1 0 0 302214 18422 0 0 2 674 674 0 0 1 0 925 1190 3.101 16 31 4 797163 1259 1065 645 6 1 5.55375 675022 28 1 3 8 6
1 0 0 302269 18371 0 0 2 713 713 0 0 1 0 560 1020 3.05 15 27 2 797163 1259 950 510 4 1 5.1375 848652 499 1 1 2 4
1 0 0 302649 18045 0 0 2 932 932 0 0 1 0 765 1100 2.986 16 31 4 797163 1259 1030 580 6 1 18.0375 860578 23 1 3 6 4
1 0 0 302851 17926 0 0 2 1018 1018 0 0 1 0 760 1060 2.344 12 29 2 797163 1259 980 605 6 1 15.3 899011 839 1 3 6 4
1 0 0 302886 17900 0 0 2 1035 1035 0 0 1 0 710 1255 3.027 16 29 2 797163 1259 760 660 6 1 5.1375 858288 480 1 3 2 6
1 0 0 302950 17848 0 0 2 1073 1073 0 0 1 0 1200 1335 0.998 4 10 2 789538 14 1260 1080 3 1 15.30875 717377 129 2 1 4 4
1 0 0 302950 17847 0 0 1 1073 1073 0 0 1 0 570 1045 3.705 18 32 4 850069 1333 585 540 3 1 15.30875 717377 129 1 1 2 10
1 0 0 302956 17844 0 0 6 1076 1076 0 0 1 0 1335 1365 0.357422878788 2 6 3 886193 215 1350 1320 3 1 4.59375 1086535 123 2 1 2 2
1 0 0 302956 17843 0 0 1 1076 1076 0 0 1 0 495 1095 0.333898333333 2 47 4 1067461 947 1080 480 3 1 4.59375 1086535 123 1 1 2 2
1 0 0 303151 17697 0 0 2 1186 1186 0 0 1 0 560 1410 3.061 17 30 2 797163 1259 1110 505 3 1 5.55375 1177440 578 1 1 2 4
1 0 0 303395 17578 0 0 1 1297 1297 0 0 1 0 600 1105 1.951 9 19 4 1067464 947 1060 575 3 1 15.73625 958689 650 1 1 2 2
1 0 0 303418 17566 0 0 1 1308 1308 0 0 1 0 585 1085 3.085 15 31 4 932478 1254 915 555 3 1 4.59375 1201490 744 1 1 2 6
1 0 0 303418 17567 0 0 4 1308 1308 0 0 1 0 1125 1225 0.691 3 8 4 921711 818 1210 1110 3 1 4.59375 1201490 744 2 1 2 2
1 0 0 303507 17496 0 0 2 1362 1362 0 0 1 0 710 990 3.017 15 34 4 797163 1259 835 515 7 1 5.1375 1178489 918 1 3 6 4
1 0 0 303533 17472 0 0 2 1379 1379 0 0 1 0 620 970 5.222 23 39 2 797163 1259 745 385 6 1 4.59375 688665 1139 1 3 6 6
1 0 0 303535 17470 0 0 1 1381 1381 0 0 1 0 765 1145 0.512919191919 2 6 4 1067474 953 1095 570 6 1 15.3 909225 1003 1 3 6 4
1 0 0 303545 17467 0 0 2 1385 1385 0 0 1 0 585 1140 2.667 15 28 2 797163 1259 1020 540 4 1 5.1375 733459 515 1 1 2 4
1 0 0 303668 17409 0 0 2 1437 1437 0 0 1 0 470 780 2.981 17 38 2 1087477 1258 730 435 3 1 15.09625 1202610 435 1 1 2 2
1 0 0 303782 17331 0 0 2 1495 1495 0 0 1 0 460 1130 3.073 18 39 2 799719 1259 975 360 6 1 5.55375 1082909 598 1 3 2 2
1 0 0 303814 17315 0 0 2 1513 1513 0 0 1 0 600 1335 2.83 16 30 2 797163 1259 1280 540 6 1 5.1375 1201935 352 1 3 2 2
1 0 0 303819 17312 0 0 2 1516 1516 0 0 1 0 540 1285 5.262 16 32 2 797163 1259 1100 510 6 1 15.09625 1031435 41 1 3 2 6
1 0 0 303859 17284 0 0 2 1538 1538 0 0 1 0 500 725 4.121 16 37 2 797163 1259 705 470 6 1 5.55375 1034845 53 1 3 2 2
1 0 0 303859 17285 0 0 3 1538 1538 0 0 1 0 995 1060 0.858 3 7 4 966447 277 1010 990 4 1 5.55375 1034845 53 2 1 2 6
1 0 0 303949 17224 0 0 2 1591 1591 0 0 1 0 610 1320 5.074 24 39 2 797163 1259 1170 530 6 1 4.59375 766290 1094 1 3 2 4
1 0 0 304014 17175 0 0 2 1628 1628 0 0 1 0 595 885 2.29 12 25 2 1078364 1253 725 560 6 1 5.55375 805864 53 1 3 2 4
1 0 0 304048 17147 0 0 2 1652 1652 0 0 1 0 810 1055 2.388 12 30 2 751805 1259 950 655 6 1 5.55375 1072079 903 1 3 4 4
1 0 0 304109 17087 0 0 2 1695 1695 0 0 1 0 630 1095 5.882 19 35 2 797163 1259 720 570 7 1 5.1375 886219 222 1 3 4 4
1 0 0 304125 17074 0 0 2 1706 1706 0 0 1 0 685 1170 3.056 16 31 2 797163 1259 1140 660 6 1 16.8825 693911 16 1 3 2 2
1 0 0 304138 17061 0 0 2 1714 1714 0 0 1 0 995 1225 2.851 16 35 4 1496 1259 1135 660 6 1 5.55375 853398 588 1 3 10 2
1 0 0 304172 17026 0 0 2 1735 1735 0 0 1 0 1130 1375 0.48416625 2 5 2 1263070 1117 1365 560 3 1 15.3 682196 1149 1 1 10 2
1 0 0 14100211 16223 0 0 1 2316 2316 0 0 2 0 570 930 3.497 15 31 2 236628 1277 750 530 3 1 535.902884857 1206643 266 1 1 2 6
1 0 0 14100211 16224 0 0 6 2317 2317 0 0 3 0 855 1035 0.520622121212 2 7 4 1000495 934 900 785 4 1 574.169625 1206643 266 1 1 4 6
1 0 0 14100211 16222 0 0 6 2315 2315 0 0 1 0 855 1035 0.520622121212 2 7 3 1000495 934 900 785 4 1 551.211760238 1206643 266 1 1 4 6
1 0 0 14100212 16220 0 0 1 2319 2319 0 0 2 0 475 1050 0.360634469697 2 48 2 1067461 947 1035 460 2 1 364.157515224 939375 255 1 1 2 2
1 0 0 14100212 16219 0 0 3 2318 2318 0 0 1 0 1140 1155 1.806 9 22 4 943602 1308 1140 1125 5 1 381.009898494 939375 255 1 1 2 2
1 0 0 14100212 16221 0 0 3 2319 2319 0 0 2 0 1140 1155 1.806 9 22 4 943602 1308 1140 1125 5 1 364.157515224 939375 255 2 1 2 2
1 0 0 14100212 16218 0 0 7 2318 2318 0 0 1 0 490 565 0.550347323232 2 6 4 847559 314 560 480 3 1 381.009898494 939375 255 2 1 2 2
1 0 0 14100213 16215 0 0 7 2321 2321 0 0 1 0 965 995 0.2264575 1 3 4 1194542 432 990 960 1 1 279.515325488 934365 400 2 1 2 2
1 0 0 14100213 16216 0 0 5 2322 2322 0 0 2 0 625 665 1.182 6 10 4 902754 647 650 600 3 1 318.924849323 934365 400 2 1 4 2
1 0 0 14100213 16217 0 0 1 2322 2322 0 0 2 0 780 1090 0.778 2 6 2 685804 101 1080 770 3 1 318.924849323 934365 400 1 1 2 2
1 0 0 14100213 16214 0 0 1 2321 2321 0 0 1 0 410 935 1.941 11 20 2 840380 1301 920 395 3 1 279.515325488 934365 400 1 1 2 2
1 0 0 14100214 16213 0 0 4 2323 2323 0 0 1 0 555 585 0.593323977273 2 5 4 788167 131 570 540 3 1 319.871617867 1252435 370 1 1 2 2
