arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
480 2 1 470 1 932558 1 36 700 1 14106094 0 3 1 1067080 0 44 1 1 1 19238 0.076928030303 0.0 7.0 143.613833567 1 1 18
905 4 1 845 -1 673572 4 1248 945 2 14106094 1 6 2 932558 1 36 3 1 1 19238 0.0 12.0 27.0 143.613833567 1 4 18
1020 4 1 945 1 1077184 4 7 1030 2 14106094 2 6 4 673572 4 1248 3 1 1 19238 0.0 13.0 36.0 143.613833567 2 5 18
1040 4 1 1030 1 789500 4 33 1150 2 14106094 3 3 4 1077184 4 7 1 1 1 19238 0.103730707071 0.0 7.0 143.613833567 3 6 18
1160 1 1 1150 1 1067080 0 44 1440 2 14106094 4 3 4 789500 4 33 1 1 1 19238 0.105422348485 0.0 7.0 143.613833567 4 7 18
705 3 1 700 1 1051474 6 19 735 1 14106094 5 3 2 932558 1 36 1 1 2 19239 0.151253888889 0.0 7.0 143.613833567 1 2 0
740 2 1 735 1 932558 1 36 845 2 14106094 6 3 3 1051474 6 19 1 1 2 19239 0.151253888889 0.0 7.0 143.613833567 1 3 0
525 2 1 465 -1 829672 1 1257 670 1 14106093 7 6 1 1273092 0 87 3 1 1 19235 0.0 16.0 36.0 85.5353905136 1 1 28
1105 1 1 1025 -1 1273092 0 87 1125 2 14106093 8 6 2 829672 1 1257 3 1 1 19235 0.0 16.0 38.0 85.5353905136 1 4 28
690 4 1 670 -1 716839 1 1256 790 1 14106093 9 1 2 829672 1 1257 1 1 2 19236 0.0 4.2 84.0 85.5353905136 1 2 0
810 2 1 790 2 829672 1 1257 1025 2 14106093 10 4 4 716839 1 1256 1 1 2 19236 0.175947954545 4.0 18.0 85.5353905136 1 3 0
1200 4 1 1125 -1 760842 4 749 1205 1 14106093 11 1 1 1273092 0 87 1 1 3 19237 0.0 2.55 51.0 85.5353905136 1 5 9
1235 4 1 1205 -1 1113282 7 705 1320 1 14106093 12 1 4 760842 4 749 1 1 3 19237 0.0 0.85 17.0 85.5353905136 2 6 9
1335 1 1 1320 2 1273092 0 87 1440 2 14106093 13 4 4 1113282 7 705 1 1 3 19237 0.446302373737 1.0 4.0 85.5353905136 1 7 16
630 4 1 570 1 1273364 4 1258 780 1 14106092 14 5 1 162183 0 1293 1 1 1 19232 5.49 21.0 46.0 209.469846315 1 1 17
810 4 1 780 1 721348 7 1261 900 2 14106092 15 5 4 1273364 4 1258 1 1 1 19232 0.704 8.0 26.0 209.469846315 1 2 17
975 1 1 900 1 162183 0 1293 1440 2 14106092 16 5 4 721348 7 1261 1 1 1 19232 5.918 24.0 47.0 209.469846315 2 3 17
630 4 1 570 2 1273364 4 1258 780 1 14106092 17 5 1 162183 0 1293 1 2 1 19233 5.49 21.0 46.0 215.347681732 1 1 17
810 4 1 780 2 721348 7 1261 900 2 14106092 18 5 4 1273364 4 1258 1 2 1 19233 0.704 8.0 26.0 215.347681732 1 2 17
975 1 1 900 2 162183 0 1293 1440 2 14106092 19 5 4 721348 7 1261 1 2 1 19233 5.918 24.0 47.0 215.347681732 2 3 17
630 4 1 570 2 1273364 4 1258 780 1 14106092 20 5 1 162183 0 1293 1 3 1 19234 5.49 21.0 46.0 223.249875 1 1 17
810 4 1 780 2 721348 7 1261 900 2 14106092 21 5 4 1273364 4 1258 1 3 1 19234 0.704 8.0 26.0 223.249875 1 2 17
