arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
830 1 1 810 -1 1197790 0 64 900 2 300281 53828 3 4 932537 1 453 1 1 1 85 0.511951111111 2 5 15.8625 1 2 12
585 4 1 570 -1 932537 1 453 810 1 300281 53827 3 1 1197790 0 64 1 1 1 85 0.511951111111 2 5 15.8625 1 1 12
790 4 1 780 1 1184302 5 356 820 1 300339 53732 4 1 876549 0 352 1 1 1 115 0.113748636364 0 3 212.3475 1 1 10
925 1 1 920 1 876549 0 352 1440 2 300339 53735 4 4 717268 5 286 1 1 1 115 0.365582727273 1 5 212.3475 2 4 10
840 4 1 820 1 1041058 7 282 900 1 300339 53733 4 4 1184302 5 356 1 1 1 115 0.349833333333 1 4 212.3475 2 2 10
905 4 1 900 1 717268 5 286 920 2 300339 53734 4 4 1041058 7 282 1 1 1 115 0.0584617171717 0 1 212.3475 1 3 10
1435 1 1 1410 -1 734609 0 911 1440 2 300616 53409 3 4 216946 1 1279 1 1 1 223 2.062 12 22 12.9325 1 7 12
795 4 1 790 -1 181621 4 1280 840 2 300616 53405 3 4 185204 7 1279 1 1 2 224 0.321058358586 4 18 12.9325 2 3 6
540 2 1 510 -1 104918 2 1282 715 1 300616 53403 3 1 734609 0 911 1 1 2 224 4.534 21 31 12.9325 1 1 6
740 4 1 715 -1 185204 7 1279 790 2 300616 53404 3 2 104918 2 1282 1 1 2 224 2.814 12 29 12.9325 1 2 6
865 1 1 840 -1 734609 0 911 885 2 300616 53406 3 4 181621 4 1280 1 1 2 224 2.436 15 26 12.9325 3 4 6
920 4 1 885 -1 133386 4 1280 945 1 300616 53407 3 1 734609 0 911 1 1 1 223 2.992 14 25 12.9325 1 5 12
970 4 1 945 -1 216946 1 1279 1410 1 300616 53408 3 4 133386 4 1280 1 1 1 223 1.562 4 18 12.9325 2 6 12
750 2 1 730 -1 740439 2 351 1185 1 300620 53401 6 1 959090 0 365 3 1 1 225 1.125 1 7 212.3475 1 1 6
1200 1 1 1185 -1 959090 0 365 1440 2 300620 53402 6 2 740439 2 351 3 1 1 225 1.125 1 7 212.3475 1 2 6
510 2 1 501 1 740439 2 351 705 1 300782 53334 6 6 -1 10 1270 3 1 1 244 -1 20 44 212.3475 2 1 6
500 6 1 450 1 -1 10 1270 501 1 300782 53333 3 1 804264 0 905 1 1 1 244 -1 10 34 212.3475 1 1 6
1325 1 1 1320 -1 804264 0 905 1440 2 300782 53338 1 4 797439 1 911 1 1 1 244 0 1.65 33 212.3475 4 4 6
