arrtm dadtyp day deptm dorp dpcl dpurp dtaz endacttm half hhno id mode oadtyp opcl opurp otaz pathtype pno tour tour_id travcost travdist travtime trexpfac tseg tsvid vot
915 4 1 900 -1 1223110 5 1245 1020 1 300004 54098 6 4 1256966 4 1243 3 1 1 1 1.125 5 20 20.6425 2 2 6
1080 1 1 1020 -1 750257 0 1253 1440 2 300004 54099 6 4 1223110 5 1245 3 1 1 1 1.125 5 22 20.6425 1 3 6
820 4 1 780 -1 1256966 4 1243 900 1 300004 54097 6 1 750257 0 1253 3 1 1 1 1.125 9 26 20.6425 1 1 6
570 4 1 545 1 751756 4 1259 630 1 300007 54095 4 1 1223541 0 1264 1 1 1 2 0.14059989899 4 19 4.88375 1 1 10
640 1 1 630 1 1223541 0 1264 1440 2 300007 54096 4 4 751756 4 1259 1 1 1 2 0.142901414141 4 19 4.88375 1 2 10
1070 4 1 1050 -1 828899 4 1250 1080 2 300010 54093 6 2 1222518 2 1256 3 1 1 3 1.125 4 18 5.20125 1 2 6
1140 1 1 1080 -1 937172 0 1355 1440 2 300010 54094 6 4 828899 4 1250 3 1 1 3 1.125 9 30 5.20125 2 3 6
700 2 1 630 -1 1222518 2 1256 1050 1 300010 54092 6 1 937172 0 1355 3 1 1 3 1.125 9 30 5.20125 1 1 6
1350 1 1 1280 -1 1137154 0 1274 1440 2 300014 54091 6 2 932775 2 1269 3 1 1 4 1.125 5 20 4.88375 1 3 6
440 4 1 405 -1 1098718 1 1270 1020 1 300014 54089 6 1 1137154 0 1274 3 1 1 4 1.125 4 18 4.88375 1 1 6
1050 2 1 1020 -1 932775 2 1269 1280 1 300014 54090 6 4 1098718 1 1270 3 1 1 4 1.125 4 19 4.88375 2 2 6
890 4 1 880 -1 829184 1 1254 1035 2 300016 54087 1 4 1078364 2 1253 1 1 1 5 0 4 80 18.2975 4 6 6
655 4 1 645 -1 1078364 2 1253 780 1 300016 54083 1 2 1149421 2 1253 1 1 1 5 0 0.25 5 18.2975 2 2 6
1045 1 1 1035 -1 829145 0 1253 1440 2 300016 54088 1 4 1243460 1 1254 1 1 1 5 0 4 80 18.2975 5 7 6
835 4 1 830 -1 1078364 2 1253 880 2 300016 54086 1 2 1078582 5 1254 1 1 1 5 0 4 80 18.2975 3 5 6
820 2 1 815 -1 1078582 5 1254 830 2 300016 54085 1 2 1149412 5 1253 1 1 1 5 0 4 80 18.2975 2 4 6
640 2 1 635 -1 1149421 2 1253 645 1 300016 54082 1 1 829145 0 1253 1 1 1 5 0 0.25 5 18.2975 1 1 6
795 2 1 780 -1 1149412 5 1253 815 2 300016 54084 1 4 1078364 2 1253 1 1 1 5 0 0.25 5 18.2975 1 3 6
1070 2 1 1030 -1 932775 2 1269 1220 1 300018 54079 6 1 979971 0 1273 3 1 1 6 1.125 6 21 4.88375 1 1 6
1225 4 1 1220 -1 1064718 7 1269 1235 2 300018 54080 1 2 932775 2 1269 1 1 1 6 0 1.7 34 4.88375 1 2 6
1255 1 1 1235 -1 979971 0 1273 1440 2 300018 54081 9 4 1064718 7 1269 1 1 1 6 1.014 6 21 4.88375 2 3 6
1075 2 1 1050 -1 932775 2 1269 1220 1 300022 54077 1 1 1209040 0 1268 1 1 2 8 0 4.95 99 15.38625 1 3 6
820 1 1 795 -1 1209040 0 1268 1050 2 300022 54076 1 2 932775 1 1269 1 1 1 7 0 4.95 99 15.38625 1 2 12
1245 1 1 1220 -1 1209040 0 1268 1440 2 300022 54078 1 2 932775 2 1269 1 1 2 8 0 4.95 99 15.38625 1 4 6
595 2 1 570 -1 932775 1 1269 795 1 300022 54075 1 1 1209040 0 1268 1 1 1 7 0 4.95 99 15.38625 1 1 12
750 1 1 740 -1 820323 0 1262 840 2 300028 54070 1 4 751674 4 1259 1 1 2 10 0 4.2 84 5.20125 1 2 6
915 2 1 840 -1 1078444 2 1256 1230 1 300028 54071 6 1 820323 0 1262 3 1 1 9 1.125 6 22 5.20125 1 3 6
1240 4 1 1230 -1 1222541 7 1253 1380 2 300028 54072 1 2 1078444 2 1256 1 1 1 9 0 4.2 84 5.20125 1 4 6
730 4 1 720 -1 751674 4 1259 740 1 300028 54069 1 1 820323 0 1262 1 1 2 10 0 4.2 84 5.20125 1 1 6
1415 1 1 1410 2 820323 0 1262 1440 2 300028 54074 4 3 1078348 6 1254 1 1 1 9 0.834 8 23 5.20125 3 6 10
1400 3 1 1380 2 1078623 6 1254 1410 2 300028 54073 4 4 1222586 7 1253 1 1 1 9 0.0510377272727 4 18 5.20125 2 5 10
1305 4 1 1290 -1 1243454 6 1254 1410 1 300031 54067 6 1 1219760 0 1253 3 1 3 13 1.125 4 18 18.33375 1 7 6
1420 1 1 1410 -1 1219760 0 1253 1440 2 300031 54068 6 4 1243454 6 1254 3 1 3 13 1.125 4 18 18.33375 1 8 6
1250 1 1 1240 -1 1219760 0 1253 1290 2 300031 54066 1 2 1222524 2 1253 1 1 1 11 0 0.25 5 18.33375 1 6 6
1070 2 1 1065 -1 1222524 2 1253 1240 1 300031 54065 1 1 1219760 0 1253 1 1 1 11 0 0.25 5 18.33375 1 5 6
920 3 1 910 -1 926070 6 1256 960 1 300031 54061 1 1 1219760 0 1253 1 1 2 12 0 4.2 84 18.33375 1 1 6
1060 1 1 1050 -1 1219760 0 1253 1065 2 300031 54064 1 4 1222595 6 1253 1 1 2 12 0 0.25 5 18.33375 1 4 6
990 4 1 980 -1 1222595 6 1253 1050 1 300031 54063 1 4 1104080 4 1256 1 1 2 12 0 4.2 84 18.33375 3 3 6
970 4 1 960 -1 1104080 4 1256 980 1 300031 54062 1 3 926070 6 1256 1 1 2 12 0 0.55 11 18.33375 2 2 6
485 4 1 470 -1 799719 5 1259 505 1 300033 54058 1 1 1016858 0 1264 1 1 1 14 0 4.6 92 15.98125 1 1 6
525 2 1 505 -1 1078364 2 1253 780 1 300033 54059 6 4 799719 5 1259 3 1 1 14 1.125 7 25 15.98125 2 2 6
805 1 1 780 -1 1016858 0 1264 1440 2 300033 54060 6 2 1078364 2 1253 3 1 1 14 1.125 8 24 15.98125 1 3 6
845 1 1 810 -1 1160733 0 1244 1440 2 300035 54057 6 4 1084078 5 1248 3 1 1 15 1.125 6 22 17.6425 2 3 6
765 4 1 745 -1 1084078 5 1248 810 2 300035 54056 6 2 1222518 2 1256 3 1 1 15 1.125 4 19 17.6425 1 2 6
505 2 1 470 -1 1222518 2 1256 745 1 300035 54055 6 1 1160728 0 1244 3 1 1 15 1.125 6 24 17.6425 1 1 6
1080 3 1 1035 2 1063834 6 1341 1130 2 300041 54052 4 4 1208210 1 1252 1 1 1 16 0.496085454545 5 21 17.36125 2 3 10
1395 1 1 1365 2 746620 0 1243 1440 2 300041 54054 4 4 1222033 7 1341 1 1 1 16 1.884 10 27 17.36125 4 5 10
1135 4 1 1130 -1 1222033 7 1341 1365 2 300041 54053 1 3 1063834 6 1341 1 1 1 16 0 0.95 19 17.36125 3 4 6
750 4 1 735 -1 1208210 1 1252 1035 2 300041 54051 1 2 1078364 2 1253 1 1 1 16 0 4.25 85 17.36125 1 2 6
495 2 1 450 -1 1078364 2 1253 735 1 300041 54050 6 1 746620 0 1243 3 1 1 16 1.125 8 27 17.36125 1 1 6
550 2 1 520 -1 1089776 2 1355 785 1 300042 54047 6 1 1261479 0 1355 3 1 1 17 1.125 3 15 9.9 1 1 6
795 3 1 785 -1 974294 6 1355 855 2 300042 54048 6 2 1089776 2 1355 3 1 1 17 1.125 3 15 9.9 1 2 6
870 1 1 855 -1 1261479 0 1355 1440 2 300042 54049 1 3 974294 6 1355 1 1 1 17 0 3.45 69 9.9 2 3 6
1040 1 1 1020 -1 852415 0 1254 1440 2 300045 54046 1 2 1078364 2 1253 1 1 1 18 0 4 80 17.56625 1 2 6
720 2 1 700 -1 1078364 2 1253 1020 1 300045 54045 1 1 852415 0 1254 1 1 1 18 0 4 80 17.56625 1 1 6
900 4 1 845 -1 910857 1 1261 1055 1 300048 54041 6 1 1024253 0 1262 3 1 1 19 1.125 5 20 15.005 1 1 6
1080 2 1 1055 -1 1030279 2 1269 1255 1 300048 54042 6 4 910857 1 1261 3 1 1 19 1.125 4 18 15.005 2 2 6
1280 4 1 1255 -1 1016506 5 1260 1295 2 300048 54043 6 2 1030279 2 1269 3 1 1 19 1.125 5 21 15.005 1 3 6
1310 1 1 1295 -1 1024253 0 1262 1440 2 300048 54044 1 4 1016506 5 1260 1 1 1 19 0 4.45 89 15.005 2 4 6
615 2 1 600 -1 932775 2 1269 900 1 300050 54038 6 1 1092413 0 1269 3 1 1 20 1.125 1 8 4.88375 1 1 6
