Subarea,total_hhs,total_persons,SubareaName
0,1360114.0075,3292913.4208,
1,4857.808,9527.0209,North Bellevue
2,4767.4047,9316.9876,Bridle Trails
3,5621.3094,8845.8525,Downtown
4,760.3064,1196.2639,Wilburton
5,1950.3744,2954.8104,Crossroads
6,2957.2732,6270.7466,Northeast Bellevue
7,3558.6757,8396.5678,South Bellevue
8,5685.1316,12290.9756,Richards Valley
9,11389.4594,36756.7271,East Bellevue
10,538.7762,1088.8904,Eastgate
11,8032.2511,21630.2498,Southeast Bellevue
13,2315.8635,4796.1525,Factoria
14,4732.648,12222.6695,Newport Hills
15,834.5232,1128.6648,Bridle Trails
16,672.8507,2220.4196,South Rose Hill
17,2323.8452,5649.5112,Norkirk
18,1476.4979,1573.1272,Highlands
19,2064.6521,3904.6796,North Rose Hill
20,123.3602,123.3602,Totem Lake
21,1322.9344,3359.4273,Central Houghton
22,6086.8646,18365.4914,Kingsgate
23,3598.5579,5926.7377,North Juanita
24,9571.3056,27052.6306,Finn Hill
25,357.8226,357.8226,Lakeview
26,768.7548,1537.5096,Market
27,2517.413,5015.3263,South Juanita
28,1670.2153,2038.7483,Moss Bay
29,939.5711,2335.0446,Everest
30,3123.1359,7177.0788,Idylwood
31,2307.0301,5146.4871,Overlake
32,1877.7661,5373.248,Grass Lawn
33,1943.2281,2625.3669,SE Redmond
34,431.5202,850.8004,Bear Creek
35,4789.3093,8347.8303,Downtown
36,7747.7377,21982.4327,Education Hill
38,1453.9787,2633.4253,Willows / Rose Hill
39,3725.1164,11757.2646,North Redmond
40,667.8964,1335.7928,English Hill
41,1015.3583,3046.0749,Fringe KC
42,13079.81,33689.6137,Fringe KC
43,7160.6465,17251.8003,Fringe KC
44,7794.7739,23936.7519,Fringe KC
45,5915.0122,13434.2879,Fringe KC
46,5562.6081,16185.2888,Fringe KC
47,2063.5995,3967.5715,Fringe KC
48,1076.1457,2298.5519,Fringe KC
49,3599.3557,7745.8435,Fringe KC
50,3374.4757,10936.6189,Fringe KC
