hhtaz,total_hhs,total_persons
2,69.1296,138.2592
3,123.8616,123.8616
4,137.5621,137.5621
5,299.5158,364.6
8,199.8816,283.8158
10,95.959,191.918
14,314.9786,471.7414
15,232.1191,396.4437
16,276.4222,481.9778
17,103.4307,206.8614
19,60.0602,60.0602
20,106.2145,212.429
23,263.2998,263.2998
27,133.3558,133.3558
28,88.3772,172.3114
29,289.9564,289.9564
30,213.7607,213.7607
32,627.0913,1011.1862
34,130.4126,130.4126
38,203.5808,203.5808
41,244.8732,477.6694
43,620.8645,1386.6975
44,786.6021,1494.0917
47,252.2427,380.6441
48,666.8573,666.8573
52,284.8581,284.8581
53,137.2874,265.6888
54,527.6418,965.7045
55,408.7157,1226.1471
60,125.8945,251.789
64,297.5481,297.5481
81,1174.2817,3729.1988
87,284.3386,284.3386
89,75.1439,150.2878
91,294.5658,541.5497
92,328.4324,482.409
94,126.5715,253.143
102,242.2778,484.5556
112,262.7907,1051.1628
115,185.326,555.978
121,382.6605,382.6605
123,3.675,3.675
124,427.5804,1054.5107
125,209.7784,337.8817
126,126.7521,507.0084
129,1227.6815,1779.9681
130,1309.3235,2394.5605
131,77.3709,77.3709
132,185.6164,434.5124
190,126.5715,253.143
194,168.747,168.747
199,135.2267,540.9068
201,185.7083,371.4166
203,351.1036,556.6493
210,82.7934,248.3802
216,129.9491,259.8982
217,490.4146,1643.1198
219,67.7194,67.7194
221,126.2846,252.5692
222,266.595,401.5369
238,229.4639,229.4639
239,129.0462,129.0462
240,426.1592,685.5156
242,353.9969,707.9938
245,376.2744,506.1306
246,204.2987,204.2987
249,246.6785,246.6785
252,216.0636,432.1272
253,489.9029,1212.3871
255,307.1527,921.4581
256,130.8125,130.8125
259,456.774,699.9625
262,177.6709,533.0127
266,702.7542,1864.8441
274,257.3216,514.6432
278,171.7473,515.2419
279,180.4687,541.4061
281,1697.1847,11496.0448
285,306.9563,613.9126
286,19.977,19.977
287,235.3431,816.0643
289,92.0069,276.0207
290,486.0662,1473.2842
292,257.3216,514.6432
293,1325.1896,3975.5688
295,172.0494,344.0988
296,277.9743,1389.8715
299,254.6753,509.3506
300,289.6693,289.6693
301,177.6709,533.0127
302,164.9512,164.9512
303,130.8125,130.8125
308,255.6552,1278.276
311,74.3938,223.1814
314,133.3016,340.997
322,344.6036,344.6036
325,179.4622,358.9244
328,185.326,555.978
330,361.3638,1806.819
331,488.8611,1503.3036
336,212.714,425.428
338,233.3639,466.7278
350,179.4622,358.9244
352,173.988,173.988
355,223.7104,223.7104
357,262.7907,1051.1628
358,199.9952,799.9808
359,363.9585,727.917
365,431.7629,615.7767
367,349.732,349.732
369,242.2778,484.5556
370,254.6753,509.3506
380,212.0553,424.1106
381,421.3458,544.1577
382,715.0612,1995.6272
383,498.2059,1098.1915
389,164.9512,164.9512
390,229.4486,365.5816
391,404.734,934.2295
394,267.6493,535.2986
397,192.5601,192.5601
400,235.8108,471.6216
401,380.9837,761.9674
402,259.9917,1039.9668
405,130.0501,390.1503
406,42.828,42.828
412,138.3932,415.1796
418,556.0077,991.9652
426,204.2987,204.2987
435,655.6924,655.6924
440,838.124,1676.248
441,132.4995,264.999
442,156.0865,468.2595
447,325.5875,1627.9375
479,314.9184,485.6315
480,4.11,4.11
485,632.6729,2530.6916
489,498.9845,682.9983
495,223.7104,223.7104
497,312.7327,1563.6635
499,204.1052,804.0908
502,295.2436,474.1501
505,13.506,13.506
508,838.2274,1560.1177
510,205.5457,411.0914
513,731.1922,731.1922
514,13.348,13.348
515,4.11,4.11
517,127.2814,381.8442
525,655.3059,1236.2901
530,381.0273,762.0546
538,453.8196,1815.2784
544,488.183,1952.732
546,446.9846,1728.0074
547,297.3971,594.7942
553,491.4175,798.0542
554,185.326,555.978
556,221.8789,443.7578
557,203.0089,812.0356
558,683.7253,2298.4408
574,191.7341,766.9364
576,737.2059,1573.0023
578,8.118,8.118
579,243.1885,486.377
580,445.2307,1133.6403
582,176.348,529.044
