o_district,d_district,purp,trexpfac
1.0,1.0,HBO,139958.6627953963
1.0,1.0,HBW,24036.83785050872
1.0,1.0,NBW,46787.5791075372
1.0,1.0,NHB,49907.44735948919
1.0,2.0,HBO,5773.751499920682
1.0,2.0,HBW,5118.836663147447
1.0,2.0,NBW,692.4239161626924
1.0,2.0,NHB,2091.939197554767
1.0,3.0,HBO,4650.414696328904
1.0,3.0,HBW,2172.103180423597
1.0,3.0,NBW,1682.7961846768815
1.0,3.0,NHB,19.9941915347644
1.0,4.0,HBO,17569.198705489962
1.0,4.0,HBW,5792.597417327178
1.0,4.0,NBW,35081.28092661624
1.0,4.0,NHB,13447.996407986477
1.0,5.0,HBO,23240.919842966785
1.0,5.0,HBW,5944.000822252962
1.0,5.0,NBW,1715.944031247208
1.0,5.0,NHB,5991.576914820006
1.0,6.0,HBO,5334.403378415221
1.0,6.0,HBW,3332.2442913649725
1.0,6.0,NBW,3051.242195186101
1.0,6.0,NHB,519.2426546627355
1.0,7.0,HBO,67229.42259032372
1.0,7.0,HBW,24239.674328630146
1.0,7.0,NBW,12453.075387442108
1.0,7.0,NHB,20069.14463933176
2.0,1.0,HBO,7013.530122100062
2.0,1.0,HBW,5158.624261345779
2.0,1.0,NBW,2249.404890954519
2.0,1.0,NHB,3192.8438231620858
2.0,2.0,HBO,5195.6667450147115
2.0,2.0,HBW,562.5379975089895
2.0,2.0,NBW,12590.238322648456
2.0,2.0,NHB,11900.965883830431
2.0,3.0,HBO,1301.62528332629
2.0,3.0,HBW,407.1856076666937
2.0,3.0,NBW,92.61854233672646
2.0,3.0,NHB,3393.9098450341403
2.0,4.0,HBO,41.6493643686012
2.0,4.0,HBW,102.0888232927174
2.0,5.0,HBO,1283.6600795657603
2.0,5.0,HBW,189.31644865831404
2.0,5.0,NBW,305.1350476867552
2.0,5.0,NHB,149.1858146106396
2.0,6.0,HBO,791.3763817590809
2.0,6.0,HBW,371.7474148461173
2.0,7.0,HBO,331.5398988381815
2.0,7.0,HBW,7195.190976782555
2.0,7.0,NBW,476.5238127368907
2.0,7.0,NHB,313.3258195897331
3.0,1.0,HBO,4457.350675609032
3.0,1.0,HBW,2153.5016747986233
3.0,1.0,NBW,1597.0420573163497
3.0,1.0,NHB,4428.669763746414
3.0,2.0,HBO,1689.311490698222
3.0,2.0,HBW,296.22222464647473
3.0,2.0,NBW,1368.863500626459
3.0,2.0,NHB,1764.07335102937
3.0,3.0,HBO,66784.13259706993
3.0,3.0,HBW,1400.691056285158
3.0,3.0,NBW,34483.68494221383
3.0,3.0,NHB,32443.340090914586
3.0,4.0,HBO,17050.23114325438
3.0,4.0,HBW,11198.341178018367
3.0,4.0,NBW,1205.971388933975
3.0,4.0,NHB,1000.1650774633695
3.0,5.0,HBO,2964.486321117704
3.0,5.0,HBW,7763.810750805631
3.0,5.0,NBW,885.4751855143983
3.0,6.0,HBO,773.3316006920976
3.0,6.0,HBW,3035.156018339884
3.0,6.0,NBW,26.2528724690573
3.0,7.0,HBO,15536.886788810114
3.0,7.0,HBW,20992.322544955863
3.0,7.0,NBW,10470.630380479224
3.0,7.0,NHB,6996.168096542107
4.0,1.0,HBO,19220.360077325608
4.0,1.0,HBW,6821.856881764781
4.0,1.0,NBW,24801.939704514665
4.0,1.0,NHB,22171.33687054718
4.0,2.0,HBO,100.3604887310814
4.0,2.0,HBW,146.369955114446
4.0,2.0,NBW,321.623605993942
4.0,2.0,NHB,12.7648999444994
4.0,3.0,HBO,26413.556156002698
4.0,3.0,HBW,3600.042709326648
4.0,3.0,NBW,3890.311041503393
4.0,4.0,HBO,77942.18600543519
4.0,4.0,HBW,15455.884744619294
4.0,4.0,NBW,27830.795351172914
4.0,4.0,NHB,9360.215152131796
4.0,5.0,HBO,2623.785095977821
4.0,5.0,HBW,6590.068756010187
4.0,5.0,NBW,2588.437368207841
4.0,5.0,NHB,199.93592159611921
4.0,6.0,HBO,1445.1842810760193
4.0,6.0,HBW,4309.798878382879
4.0,6.0,NBW,61.1731211334695
4.0,7.0,HBO,40635.74201219529
4.0,7.0,HBW,17990.61166281359
4.0,7.0,NBW,18086.607055000266
4.0,7.0,NHB,6643.9656897537525
5.0,1.0,HBO,13004.735161995815
5.0,1.0,HBW,7043.701440023185
5.0,1.0,NBW,926.4817090684709
5.0,1.0,NHB,516.0414397497017
5.0,2.0,HBO,2018.9449465796808
5.0,2.0,HBW,247.97098096536627
5.0,2.0,NBW,496.81347613087735
5.0,2.0,NHB,190.4813591520382
5.0,3.0,HBO,3158.5962030256073
5.0,3.0,HBW,7303.271677543814
5.0,3.0,NBW,129.440957638468
5.0,3.0,NHB,1485.4509375292837
5.0,4.0,HBO,9907.83987052231
5.0,4.0,HBW,8410.70824624559
5.0,4.0,NBW,840.1957937662289
5.0,4.0,NHB,69.5087502442357
5.0,5.0,HBO,1260618.6302128274
5.0,5.0,HBW,185972.55396838975
5.0,5.0,NBW,153290.251391458
5.0,5.0,NHB,322175.88812417147
5.0,6.0,HBO,65678.64440259254
5.0,6.0,HBW,42448.32219044032
5.0,6.0,NBW,26279.287300427488
5.0,6.0,NHB,28757.549179963957
5.0,7.0,HBO,126104.44893020982
5.0,7.0,HBW,85737.53183766606
5.0,7.0,NBW,37862.26774071932
5.0,7.0,NHB,44967.624636725486
6.0,1.0,HBO,10906.458073173035
6.0,1.0,HBW,2417.9603644289555
6.0,1.0,NBW,1289.992266963497
6.0,1.0,NHB,1010.314174017907
6.0,2.0,HBO,436.85594568620195
6.0,2.0,HBW,332.07225142476796
6.0,2.0,NBW,73.29243946282389
6.0,2.0,NHB,1122.8170514239964
6.0,3.0,HBO,773.3316006920976
6.0,3.0,HBW,3462.2293124577627
6.0,3.0,NBW,89.4057285091674
6.0,4.0,HBO,456.6301386294524
6.0,4.0,HBW,4826.2607487556415
6.0,4.0,NBW,99.48761794620201
6.0,4.0,NHB,842.0590877595899
6.0,5.0,HBO,62900.87620537847
6.0,5.0,HBW,38879.869528876414
6.0,5.0,NBW,40120.291001951875
6.0,5.0,NHB,22618.149229107217
6.0,6.0,HBO,72828.54034424675
6.0,6.0,HBW,27597.72058522371
6.0,6.0,NBW,48188.37480466344
6.0,6.0,NHB,40225.95766825996
6.0,7.0,HBO,23439.363283566956
6.0,7.0,HBW,27804.710261664968
6.0,7.0,NBW,6226.109437620058
6.0,7.0,NHB,10082.616156464752
7.0,1.0,HBO,77735.11355296629
7.0,1.0,HBW,28915.440107828894
7.0,1.0,NBW,3412.4883426954775
7.0,1.0,NHB,5028.341728970349
7.0,2.0,HBO,1165.08368032678
7.0,2.0,HBW,8015.996343176832
7.0,2.0,NBW,401.6282959854606
7.0,2.0,NHB,174.0187244557394
7.0,3.0,HBO,17730.52056250955
7.0,3.0,HBW,21549.847178528125
7.0,3.0,NBW,8446.301046398652
7.0,3.0,NHB,7800.602246377504
7.0,4.0,HBO,51271.587550305914
7.0,4.0,HBW,17943.09237900027
7.0,4.0,NBW,915.4071900641868
7.0,4.0,NHB,3931.5910068810954
7.0,5.0,HBO,132317.0135611918
7.0,5.0,HBW,78494.31406946082
7.0,5.0,NBW,30092.987014138547
7.0,5.0,NHB,57539.387076788276
7.0,6.0,HBO,21455.765053668412
7.0,6.0,HBW,29590.584349248416
7.0,6.0,NBW,9822.586416851776
7.0,6.0,NHB,3974.657130293754
7.0,7.0,HBO,4996806.928814963
7.0,7.0,HBW,1039292.167709042
7.0,7.0,NBW,920382.9337286057
7.0,7.0,NHB,2108087.281821638
