"steps","stepnames","stepruntimes","cumruntimes"
1,"reading hh data",19.95,19.95
2,"reading person data",57.41,77.36
3,"reading person day data",51.18,128.54
4,"reading person day tour data",126.72,255.26
5,"reading person day trip data",238.16,493.42
6,"summarizing work location choice",31.5000000000001,524.92
7,"summarizing vehicle ownership choice",5.43999999999994,530.36
8,"summarizing Day pattern",133.03,663.39
9,"summarizing Destination Choice",20.7900000000001,684.18
10,"summarizing Trip Destination Choice",36.6799999999999,720.86
11,"summarizing Tour Mode Choice",18.62,739.48
12,"summarizing Tour Time of Day Choice",31.4400000000001,770.92
13,"summarizing Trip Mode Choice",41.6999999999999,812.62
14,"summarizing Trip Time of Day Choice",66.3100000000001,878.93
