beghom day endhom esstops estours hbtours hhno household_day_id id mestops metours mlstops mltours pbstops pbtours pdexpfac person_id pno restops retours scstops sctours shstops shtours sostops sotours uwtours wbtours wkathome wkstops wktours
0 1 1 0 0 0 300038 18 18 0 0 0 0 0 0 4.161 18 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 0 0 0 1 300281 89 89 0 0 0 0 0 0 12.69 89 1 0 0 0 0 0 0 0 0 0 0 180 0 1
1 1 1 0 0 1 300339 112 112 0 0 0 0 0 0 169.878 112 1 0 0 0 0 2 0 0 1 0 0 0 0 0
1 1 1 0 0 2 300616 202 202 0 0 0 0 2 0 10.346 202 1 0 0 0 1 0 0 1 0 0 0 0 0 1
1 1 1 0 0 1 300620 203 203 0 0 0 0 0 0 169.878 203 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300782 222 222 0 0 1 0 0 0 169.878 222 1 0 0 0 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 1 300831 238 238 0 0 2 0 0 0 169.878 238 1 0 0 0 1 0 0 2 0 0 0 0 1 0
0 1 1 0 0 0 300984 264 264 0 0 0 0 0 0 19.977 264 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 301089 277 277 0 0 0 0 0 0 42.828 277 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 301826 432 432 0 0 0 0 0 0 565.822 432 1 0 0 0 1 1 0 0 0 0 0 0 1 0
0 1 1 0 0 1 302047 570 570 0 0 0 1 0 0 4.11 570 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 302095 593 593 0 0 0 0 0 0 4.11 593 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 0 302159 634 634 0 0 0 0 0 0 13.348 634 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 302187 656 656 0 0 1 0 0 0 19.977 656 1 0 0 0 0 0 1 0 0 0 0 0 0 0
1 1 1 0 0 1 302214 674 674 0 0 1 0 0 0 4.443 674 1 0 0 4 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 302269 713 713 0 0 0 0 0 0 4.11 713 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 302649 932 932 0 0 2 0 0 0 14.43 932 1 0 0 1 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 302851 1018 1018 0 0 1 0 0 0 12.24 1018 1 0 0 1 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 1 302886 1035 1035 0 0 0 0 1 0 4.11 1035 1 0 0 0 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 2 302950 1073 1073 0 0 0 0 3 0 12.247 1073 1 0 0 0 1 1 0 2 0 0 0 240 0 1
1 1 1 0 0 2 302956 1076 1076 0 0 0 1 0 0 3.675 1076 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 1 303151 1186 1186 0 0 0 0 0 0 4.443 1186 1 0 0 0 1 0 0 1 0 0 0 0 0 0
1 1 1 0 0 1 303395 1297 1297 0 0 0 0 0 0 12.589 1297 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 2 303418 1308 1308 0 0 0 0 0 1 3.675 1308 1 0 0 0 0 1 0 1 0 0 0 180 0 1
1 1 1 0 0 1 303507 1362 1362 0 0 0 0 0 0 4.11 1362 1 0 0 1 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303533 1379 1379 0 0 0 0 0 0 3.675 1379 1 0 0 3 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303535 1381 1381 0 0 0 0 1 0 12.24 1381 1 0 0 0 0 1 0 0 0 0 0 0 1 1
1 1 1 1 0 1 303545 1385 1385 0 0 0 0 0 0 4.11 1385 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 303635 1419 1419 0 0 0 0 0 0 12.24 1419 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303668 1437 1437 0 0 0 0 0 0 12.077 1437 1 0 0 0 1 0 0 0 0 0 0 0 0 0
0 1 1 0 0 0 303751 1479 1479 0 0 0 0 0 0 3.675 1479 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303782 1495 1495 0 0 0 0 0 0 4.443 1495 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303814 1513 1513 0 0 0 0 0 0 4.11 1513 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303819 1516 1516 0 0 1 0 1 0 12.077 1516 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 1 2 303859 1538 1538 0 0 0 0 1 0 4.443 1538 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 303949 1591 1591 0 0 1 0 0 0 3.675 1591 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 304014 1628 1628 0 0 1 0 0 0 4.443 1628 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 304048 1652 1652 0 0 0 0 1 0 4.443 1652 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 304109 1695 1695 0 0 0 0 0 0 4.11 1695 1 0 0 0 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 1 304125 1706 1706 0 0 0 0 0 0 13.506 1706 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 304138 1714 1714 0 0 0 0 0 0 4.443 1714 1 0 0 1 1 2 0 0 0 0 0 0 1 0
1 1 1 0 0 1 304172 1735 1735 0 0 0 0 2 0 12.24 1735 1 0 0 0 1 0 0 1 0 0 0 0 1 0
1 1 1 0 0 0 304254 1789 1789 0 0 0 0 0 0 13.506 1789 1 0 0 0 0 0 0 0 0 0 0 0 0 0
