beghom day endhom esstops estours hbtours hhno household_day_id id mestops metours mlstops mltours pbstops pbtours pdexpfac person_id pno restops retours scstops sctours shstops shtours sostops sotours uwtours wbtours wkathome wkstops wktours
0 1 1 0 0 0 300001 1 1 0 0 0 0 0 0 4.161 1 1 0 0 0 0 0 0 0 0 0 0 0 0 0
0 1 1 0 0 0 300002 2 2 0 0 0 0 0 0 4.161 2 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300004 3 3 0 0 0 0 1 0 16.514 3 1 0 0 0 0 0 1 0 0 0 0 0 0 0
1 1 1 0 0 0 300005 4 4 0 0 0 0 0 0 3.907 4 1 0 0 0 0 0 0 0 0 0 0 480 0 0
1 1 1 0 0 1 300007 5 5 0 0 0 0 0 1 3.907 5 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300010 6 6 0 0 0 0 1 0 4.161 6 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300013 7 7 0 0 0 0 0 0 14.667 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300014 8 8 0 0 0 0 0 0 3.907 8 1 0 0 0 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 0 300015 9 9 0 0 0 0 0 0 4.161 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300016 10 10 0 0 0 0 0 0 14.638 10 1 0 0 2 1 2 0 0 0 0 0 0 1 0
1 1 1 0 0 1 300018 11 11 0 0 0 0 0 0 3.907 11 1 0 0 0 1 0 0 1 0 0 0 0 0 0
1 1 1 0 0 0 300019 12 12 0 0 0 0 0 0 15.505 12 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 2 300022 13 13 0 0 0 0 0 0 12.309 13 1 0 0 0 1 0 0 0 0 1 0 0 0 1
1 1 1 0 0 2 300028 14 14 0 0 1 0 0 1 4.161 14 1 0 0 0 1 0 0 1 0 0 0 0 0 0
1 1 1 0 0 3 300031 15 15 0 0 1 2 1 0 14.667 15 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300033 16 16 0 0 0 0 0 0 12.785 16 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300035 17 17 0 0 0 0 0 0 14.114 17 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300041 19 19 0 0 1 0 0 0 13.889 19 1 0 0 0 1 0 0 1 0 0 0 0 1 0
1 1 1 0 0 1 300042 20 20 0 0 1 0 0 0 7.92 20 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300045 21 21 0 0 0 0 0 0 14.053 21 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300047 22 22 0 0 0 0 0 0 7.92 22 1 0 0 0 0 0 0 0 0 0 0 240 0 0
1 1 1 0 0 1 300048 23 23 0 0 0 0 0 0 12.004 23 1 0 0 0 1 1 0 0 0 0 0 0 1 0
1 1 1 0 0 1 300050 24 24 0 0 0 0 0 0 3.907 24 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300052 25 25 0 0 0 0 1 1 14.638 25 1 0 0 0 0 0 0 0 0 0 0 360 0 0
1 1 1 0 0 1 300058 26 26 0 0 0 0 0 0 3.907 26 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300060 27 27 0 0 0 0 0 0 7.92 27 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300063 28 28 0 0 0 0 0 0 13.884 28 1 0 0 0 0 0 0 0 0 0 0 240 0 0
1 1 1 0 0 1 300066 29 29 0 0 1 0 0 0 12.636 29 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 0 300079 30 30 0 0 0 0 0 0 27.949 30 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300082 31 31 0 0 0 0 1 0 7.92 31 1 0 0 0 1 0 0 0 0 0 0 0 2 0
1 1 1 0 0 1 300083 32 32 0 0 2 0 0 0 14.667 32 1 0 0 2 1 1 0 0 0 0 0 0 2 0
1 1 1 0 0 3 300085 33 33 0 0 0 0 0 0 11.864 33 1 0 0 0 3 0 0 0 0 0 0 0 0 0
1 1 1 0 0 2 300086 34 34 0 0 0 1 0 0 4.161 34 1 0 0 0 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 1 300087 35 35 0 0 0 0 0 0 3.907 35 1 0 0 0 1 1 0 0 0 0 0 0 1 0
1 1 1 0 0 1 300089 36 36 0 0 2 0 0 0 4.161 36 1 0 0 2 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300090 37 37 0 0 0 0 0 0 15.123 37 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300094 38 38 0 0 0 0 0 0 7.92 38 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 0 300095 39 39 0 0 0 0 0 0 4.161 39 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300098 40 40 0 0 1 0 0 0 4.161 40 1 0 0 0 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 2 300101 41 41 0 0 0 0 0 0 3.907 41 1 0 0 0 1 0 0 0 0 0 0 0 0 1
1 1 1 0 0 2 300104 42 42 0 0 1 1 0 0 3.907 42 1 0 0 1 1 1 0 1 0 0 0 0 0 0
1 1 1 0 0 1 300105 43 43 0 0 0 0 0 0 14.04 43 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 1 300106 44 44 0 0 0 0 0 0 4.161 44 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 1 0 1 300118 45 45 0 0 0 0 0 0 4.161 45 1 0 0 1 1 1 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300119 46 46 0 0 0 0 0 0 4.161 46 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300130 47 47 0 0 0 0 0 0 4.161 47 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 0 300131 48 48 0 0 0 0 0 0 3.907 48 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300137 49 49 0 0 0 0 0 0 3.907 49 1 0 0 0 0 1 0 0 0 0 0 0 0 1
1 1 1 0 0 1 300142 50 50 0 0 0 0 0 0 15.04 50 1 0 0 0 1 0 0 0 0 0 0 0 4 0
1 1 1 0 0 1 300148 51 51 0 0 0 0 0 0 14.667 51 1 0 0 0 0 0 1 0 0 0 0 0 0 0
1 1 1 0 0 3 300155 52 52 0 0 1 0 2 0 13.949 52 1 0 0 0 1 0 0 0 1 0 0 0 0 1
1 1 1 0 0 1 300157 53 53 0 0 0 0 0 0 4.161 53 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300163 54 54 0 0 0 0 0 0 16.514 54 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 2 300165 55 55 0 0 0 0 1 0 3.907 55 1 0 0 0 1 0 1 0 0 0 0 0 0 0
1 1 1 0 0 1 300166 56 56 0 0 0 0 0 0 4.161 56 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300178 57 57 0 0 0 0 0 0 3.907 57 1 0 0 0 0 0 0 0 0 0 0 0 0 1
1 1 1 0 0 1 300179 58 58 0 0 0 0 0 0 3.907 58 1 0 0 0 1 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300181 59 59 0 0 0 0 0 0 4.161 59 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 1 300183 60 60 0 0 0 0 0 0 4.161 60 1 0 0 0 0 0 0 0 0 0 0 0 2 1
1 1 1 0 0 1 300185 61 61 0 0 0 0 0 0 13.382 61 1 0 0 1 1 0 0 0 0 0 0 0 1 0
1 1 1 0 0 1 300187 62 62 0 0 1 0 1 0 13.168 62 1 0 0 2 1 0 0 0 0 0 0 0 2 0
1 1 1 0 0 2 300191 63 63 0 0 0 0 0 0 3.907 63 1 0 0 0 1 0 1 0 0 0 0 0 0 0
1 1 1 0 0 2 300192 64 64 0 0 0 0 1 0 3.907 64 1 0 0 0 0 1 0 0 2 0 0 0 0 0
1 1 1 0 0 2 300193 65 65 0 0 0 0 0 0 7.92 65 1 0 0 0 0 0 0 0 0 0 0 0 1 2
1 1 1 0 0 0 300198 66 66 0 0 0 0 0 0 13.771 66 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 0 300201 67 67 0 0 0 0 0 0 4.443 67 1 0 0 0 0 0 0 0 0 0 0 0 0 0
1 1 1 0 0 2 300202 68 68 0 0 0 0 0 0 13.532 68 1 0 0 0 0 0 0 0 1 0 0 0 0 1
