"steps","stepnames","stepruntimes","cumruntimes"
1,"reading hh data",5.61,5.61
2,"reading person data",17.79,23.4
3,"reading person day data",13.36,36.76
4,"reading person day tour data",46.71,83.47
5,"reading person day trip data",162.93,246.4
6,"summarizing work location choice",23.72,270.12
7,"summarizing vehicle ownership choice",4.16000000000003,274.28
8,"summarizing Day pattern",123.31,397.59
9,"summarizing Destination Choice",16.8,414.39
10,"summarizing Trip Destination Choice",35.56,449.95
11,"summarizing Tour Mode Choice",14.77,464.72
12,"summarizing Tour Time of Day Choice",27.31,492.03
13,"summarizing Trip Mode Choice",36.78,528.81
14,"summarizing Trip Time of Day Choice",59.36,588.17
