day dow fhtours hdexpfac hhno id jttours phtours
1 4 0 110 14106094 7960 0 0
1 4 0 73 14106093 7959 0 0
1 4 0 178 14106092 7958 0 0
1 4 0 1226 14106091 7957 0 0
1 4 0 117 14106090 7956 0 0
1 4 0 174 14106089 7955 0 0
1 4 0 474 14106088 7954 0 0
1 4 0 249 14106087 7953 0 0
1 4 0 186 14106086 7952 0 0
1 4 0 469 14106085 7951 0 0
1 4 0 1018 14106084 7950 0 0
1 4 0 78 14106083 7949 0 0
1 4 0 202 14106082 7948 0 0
1 4 0 454 14106081 7947 0 0
1 4 0 251 14106080 7946 0 0
1 4 0 266 14106079 7945 0 0
1 4 0 157 14106078 7944 0 0
1 4 0 487 14106077 7943 0 0
1 4 0 418 14106076 7942 0 0
1 4 0 779 14106075 7941 0 0
1 4 0 335 14106074 7940 0 0
1 4 0 163 14106073 7939 0 0
1 4 0 319 14106072 7938 0 0
1 4 0 934 14106071 7937 0 0
1 4 0 332 14106070 7936 0 0
1 4 0 450 14106069 7935 0 0
1 4 0 396 14106068 7934 0 0
1 4 0 268 14106067 7933 0 0
1 4 0 470 14106066 7932 0 0
1 4 0 348 14106065 7931 0 0
1 4 0 419 14106064 7930 0 0
1 4 0 105 14106063 7929 0 0
1 4 0 407 14106062 7928 0 0
1 4 0 294 14106061 7927 0 0
1 4 0 398 14106060 7926 0 0
1 4 0 174 14106059 7925 0 0
1 4 0 271 14106058 7924 0 0
1 4 0 227 14106057 7923 0 0
1 4 0 487 14106056 7922 0 0
1 4 0 916 14106055 7921 0 0
1 4 0 256 14106054 7920 0 0
1 4 0 937 14106053 7919 0 0
1 4 0 173 14106052 7918 0 0
1 4 0 115 14106051 7917 0 0
1 4 0 343 14106050 7916 0 0
1 4 0 2169 14106049 7915 0 0
1 4 0 190 14106048 7914 0 0
1 4 0 778 14106047 7913 0 0
1 4 0 186 14106046 7912 0 0
1 4 0 198 14106045 7911 0 0
1 4 0 197 14106044 7910 0 0
1 4 0 461 14106043 7909 0 0
1 4 0 84 14106042 7908 0 0
1 4 0 94 14106041 7907 0 0
1 4 0 590 14106040 7906 0 0
1 4 0 248 14106039 7905 0 0
1 4 0 203 14106038 7904 0 0
1 4 0 432 14106037 7903 0 0
1 4 0 302 14106036 7902 0 0
1 4 0 313 14106035 7901 0 0
1 4 0 188 14106034 7900 0 0
1 4 0 244 14106033 7899 0 0
1 4 0 374 14106032 7898 0 0
1 4 0 508 14106031 7897 0 0
1 4 0 582 14106030 7896 0 0
1 4 0 369 14106029 7895 0 0
1 4 0 342 14106028 7894 0 0
1 4 0 283 14106027 7893 0 0
1 4 0 809 14106026 7892 0 0
1 4 0 171 14106025 7891 0 0
1 4 0 132 14106024 7890 0 0
1 4 0 201 14106023 7889 0 0
1 4 0 288 14106022 7888 0 0
1 4 0 1777 14106021 7887 0 0
1 4 0 487 14106020 7886 0 0
1 4 0 382 14106019 7885 0 0
1 4 0 869 14106018 7884 0 0
1 4 0 340 14106017 7883 0 0
1 4 0 256 14106016 7882 0 0
1 4 0 271 14106015 7881 0 0
1 4 0 2240 14106014 7880 0 0
1 4 0 219 14106013 7879 0 0
1 4 0 608 14106012 7878 0 0
1 4 0 358 14106011 7877 0 0
1 4 0 254 14106010 7876 0 0
1 4 0 267 14106009 7875 0 0
1 4 0 1004 14106008 7874 0 0
1 4 0 517 14106007 7873 0 0
1 4 0 607 14106006 7872 0 0
1 4 0 163 14106005 7871 0 0
1 4 0 218 14106004 7870 0 0
1 4 0 296 14106003 7869 0 0
1 4 0 230 14106002 7868 0 0
1 4 0 448 14106001 7867 0 0
1 4 0 227 14106000 7866 0 0
1 4 0 84 14105999 7865 0 0
1 4 0 61 14105998 7864 0 0
1 4 0 74 14105997 7863 0 0
1 4 0 60 14105996 7862 0 0
1 4 0 162 14105995 7861 0 0
1 4 0 66 14105994 7860 0 0
1 4 0 95 14105993 7859 0 0
1 4 0 113 14105992 7858 0 0
1 4 0 97 14105991 7857 0 0
1 4 0 115 14105990 7856 0 0
1 4 0 89 14105989 7855 0 0
1 4 0 194 14105988 7854 0 0
1 4 0 222 14105987 7853 0 0
1 4 0 130 14105986 7852 0 0
1 4 0 126 14105985 7851 0 0
1 4 0 65 14105984 7850 0 0
1 4 0 81 14105983 7849 0 0
1 4 0 106 14105982 7848 0 0
1 4 0 174 14105981 7847 0 0
1 4 0 362 14105980 7846 0 0
1 4 0 433 14105979 7845 0 0
1 4 0 77 14105978 7844 0 0
1 4 0 1391 14105977 7843 0 0
1 4 0 193 14105976 7842 0 0
1 4 0 395 14105975 7841 0 0
1 4 0 49 14105974 7840 0 0
1 4 0 432 14105973 7839 0 0
1 4 0 329 14105972 7838 0 0
1 4 0 126 14105971 7837 0 0
1 4 0 371 14105970 7836 0 0
1 4 0 493 14105969 7835 0 0
1 4 0 142 14105968 7834 0 0
1 4 0 700 14105967 7833 0 0
1 4 0 184 14105966 7832 0 0
1 4 0 212 14105965 7831 0 0
1 4 0 176 14105964 7830 0 0
1 4 0 675 14105963 7829 0 0
1 4 0 1041 14105962 7828 0 0
1 4 0 136 14105961 7827 0 0
1 4 0 280 14105960 7826 0 0
1 4 0 455 14105959 7825 0 0
1 4 0 243 14105958 7824 0 0
1 4 0 229 14105957 7823 0 0
1 4 0 233 14105956 7822 0 0
1 4 0 176 14105955 7821 0 0
1 4 0 98 14105954 7820 0 0
1 4 0 298 14105953 7819 0 0
1 4 0 176 14105952 7818 0 0
1 4 0 79 14105951 7817 0 0
1 4 0 232 14105950 7816 0 0
1 4 0 61 14105949 7815 0 0
1 4 0 83 14105948 7814 0 0
1 4 0 332 14105947 7813 0 0
1 4 0 191 14105946 7812 0 0
1 4 0 87 14105945 7811 0 0
1 4 0 407 14105944 7810 0 0
1 4 0 136 14105943 7809 0 0
1 4 0 185 14105942 7808 0 0
1 4 0 167 14105941 7807 0 0
1 4 0 550 14105940 7806 0 0
1 4 0 64 14105939 7805 0 0
1 4 0 182 14105938 7804 0 0
1 4 0 54 14105937 7803 0 0
1 4 0 153 14105936 7802 0 0
1 4 0 293 14105935 7801 0 0
1 3 0 740 14105934 7800 0 0
1 3 0 95 14105933 7799 0 0
1 3 0 158 14105932 7798 0 0
1 3 0 140 14105931 7797 0 0
1 3 0 65 14105930 7796 0 0
1 3 0 144 14105929 7795 0 0
1 3 0 582 14105928 7794 0 0
1 3 0 237 14105927 7793 0 0
1 3 0 163 14105926 7792 0 0
1 3 0 182 14105925 7791 0 0
1 3 0 179 14105924 7790 0 0
1 3 0 147 14105923 7789 0 0
1 3 0 138 14105922 7788 0 0
1 3 0 206 14105921 7787 0 0
1 3 0 178 14105920 7786 0 0
1 3 0 102 14105919 7785 0 0
1 3 0 147 14105918 7784 0 0
1 3 0 80 14105917 7783 0 0
1 3 0 42 14105916 7782 0 0
1 3 0 288 14105915 7781 0 0
1 3 0 110 14105914 7780 0 0
1 3 0 117 14105913 7779 0 0
1 3 0 161 14105912 7778 0 0
1 3 0 683 14105911 7777 0 0
1 3 0 332 14105910 7776 0 0
1 3 0 110 14105909 7775 0 0
1 3 0 409 14105908 7774 0 0
1 3 0 404 14105907 7773 0 0
1 3 0 65 14105906 7772 0 0
1 3 0 863 14105905 7771 0 0
1 3 0 164 14105904 7770 0 0
1 3 0 1374 14105903 7769 0 0
1 3 0 218 14105902 7768 0 0
1 3 0 656 14105901 7767 0 0
1 3 0 174 14105900 7766 0 0
1 3 0 136 14105899 7765 0 0
1 3 0 176 14105898 7764 0 0
1 3 0 143 14105897 7763 0 0
1 3 0 264 14105896 7762 0 0
1 3 0 252 14105895 7761 0 0
1 3 0 90 14105894 7760 0 0
1 3 0 1092 14105893 7759 0 0
1 3 0 162 14105892 7758 0 0
1 3 0 92 14105891 7757 0 0
1 3 0 717 14105890 7756 0 0
1 3 0 371 14105889 7755 0 0
1 3 0 169 14105888 7754 0 0
1 3 0 131 14105887 7753 0 0
1 3 0 302 14105886 7752 0 0
1 3 0 417 14105885 7751 0 0
1 3 0 240 14105884 7750 0 0
