fraction_with_jobs_outside hh515 hhcu5 hhexpfac hhftw hhhsc hhincome hhno hhoad hhparcel hhptw hhret hhsize hhtaz hhuni hhvehs hhwkrs hownrent hrestype samptype zone_id
0 0 0 4.161 0 0 -1 300001 0 771849 0 0 1 1255 1 0 0 -1 -1 3 421
0 0 0 4.161 0 0 -1 300002 0 1227150 0 0 1 1247 1 0 0 -1 -1 3 628
0 0 0 16.514 0 0 -1 300004 0 750257 0 0 1 1253 1 0 0 -1 -1 1 552
0 0 0 3.907 0 0 -1 300005 0 1434 0 0 1 1343 1 1 0 -1 -1 3 239
0 0 0 3.907 0 0 -1 300007 0 1223541 0 0 1 1264 1 1 0 -1 -1 3 280
0 0 0 4.161 0 0 -1 300010 0 937172 0 0 1 1355 1 0 0 -1 -1 3 751
0 0 0 14.667 0 0 -1 300013 0 1769 0 0 1 1251 1 0 0 -1 -1 2 574
0 0 0 3.907 0 0 -1 300014 0 1137154 0 0 1 1274 1 0 0 -1 -1 3 1839
0 0 0 4.161 0 0 -1 300015 0 1276024 0 0 1 1255 1 1 0 -1 -1 3 588
0 0 0 14.638 0 0 -1 300016 0 829145 0 0 1 1253 1 1 0 -1 -1 2 573
0 0 0 3.907 0 0 -1 300018 0 979971 0 0 1 1273 1 0 0 -1 -1 3 1829
0 0 0 15.505 0 0 -1 300019 0 2372 0 0 1 1272 1 0 0 -1 -1 1 1819
0 0 0 12.309 0 0 -1 300022 0 1209040 0 0 1 1268 1 0 0 -1 -1 2 68
0 0 0 4.161 0 0 -1 300028 0 820323 0 0 1 1262 1 0 0 -1 -1 3 277
0 0 0 14.667 0 0 -1 300031 0 1219760 0 0 1 1253 1 0 0 -1 -1 2 567
0 0 0 12.785 0 0 -1 300033 0 1016858 0 0 1 1264 1 0 0 -1 -1 2 306
0 0 0 14.114 0 0 -1 300035 0 1160728 0 0 1 1244 1 0 0 -1 -1 2 648
0 0 0 4.161 0 0 -1 300038 0 761426 0 0 1 773 1 0 0 -1 -1 3 1690
0 0 0 13.889 0 0 -1 300041 0 746620 0 0 1 1243 1 0 0 -1 -1 2 770
0 0 0 7.92 0 0 -1 300042 0 1261479 0 0 1 1355 1 0 0 -1 -1 3 794
0 0 0 14.053 0 0 -1 300045 0 852415 0 0 1 1254 1 0 0 -1 -1 2 584
0 0 0 7.92 0 0 -1 300047 0 960341 0 0 1 1355 1 0 0 -1 -1 3 753
0 0 0 12.004 0 0 -1 300048 0 1024253 0 0 1 1262 1 0 0 -1 -1 2 309
0 0 0 3.907 0 0 -1 300050 0 1092413 0 0 1 1269 1 0 0 -1 -1 3 74
