Zone_id	zone_ordinal	Dest_eligible	External
1	1	1	62
2	2	1	62
3	3	1	62
4	4	1	62
5	5	1	62
6	6	1	62
7	7	1	62
8	8	1	62
9	9	1	62
10	10	1	62
11	11	1	62
12	12	1	62
13	13	1	62
14	14	1	62
15	15	1	62
16	16	1	62
17	17	1	62
18	18	1	62
19	19	1	62
20	20	1	62
21	21	1	62
22	22	1	62
23	23	1	62
24	24	1	62
25	25	1	62
26	26	1	62
27	27	1	62
28	28	1	62
29	29	1	62
30	30	1	62
31	31	1	62
32	32	1	62
33	33	1	62
34	34	1	62
35	35	1	62
36	36	1	62
37	37	1	62
38	38	1	62
39	39	1	62
40	40	1	62
41	41	1	62
42	42	1	62
43	43	1	62
44	44	1	62
45	45	1	62
46	46	1	62
47	47	1	61
48	48	1	61
49	49	1	61
50	50	1	61
51	51	1	61
52	52	1	61
53	53	1	61
54	54	1	61
55	55	1	61
56	56	1	61
57	57	1	61
58	58	1	61
59	59	1	61
60	60	1	61
61	61	1	61
62	62	1	61
63	63	1	61
64	64	1	61
65	65	1	61
66	66	1	61
67	67	1	61
68	68	1	61
69	69	1	61
70	70	1	61
71	71	1	61
72	72	1	61
73	73	1	61
74	74	1	61
75	75	1	61
76	76	1	61
77	77	1	61
78	78	1	61
79	79	1	61
80	80	1	61
81	81	1	61
82	82	1	61
83	83	1	61
84	84	1	61
85	85	1	61
86	86	1	61
87	87	1	61
88	88	1	61
89	89	1	61
90	90	1	61
91	91	1	61
92	92	1	61
93	93	1	61
94	94	1	61
95	95	1	61
96	96	1	61
97	97	1	61
98	98	1	61
99	99	1	61
100	100	1	61
101	101	1	61
102	102	1	61
103	103	1	61
104	104	1	61
105	105	1	61
106	106	1	61
107	107	1	61
108	108	1	61
109	109	1	61
110	110	1	61
111	111	1	61
112	112	1	61
113	113	1	61
114	114	1	61
115	115	1	61
116	116	1	61
117	117	1	61
118	118	1	61
119	119	1	61
120	120	1	61
121	121	1	61
122	122	1	61
123	123	1	61
124	124	1	61
125	125	1	61
126	126	1	61
127	127	1	61
128	128	1	61
129	129	1	61
130	130	1	61
131	131	1	61
132	132	1	61
133	133	1	61
134	134	1	61
135	135	1	61
136	136	1	61
137	137	1	61
138	138	1	61
139	139	1	61
140	140	1	61
141	141	1	61
142	142	1	61
143	143	1	61
144	144	1	61
145	145	1	61
146	146	1	61
147	147	1	61
148	148	1	61
149	149	1	61
150	150	1	61
151	151	1	61
152	152	1	61
153	153	1	61
154	154	1	61
155	155	1	61
156	156	1	61
157	157	1	61
158	158	1	61
159	159	1	61
160	160	1	61
161	161	1	61
162	162	1	61
163	163	1	61
164	164	1	61
165	165	1	61
166	166	1	61
167	167	1	61
