TAZ,OldDistric,County,New DistrictName,Region_old,Region
1,8,King,East Side,BKR,BKR
2,8,King,East Side,BKR,BKR
3,8,King,East Side,BKR,BKR
4,8,King,East Side,BKR,BKR
5,8,King,East Side,BKR,BKR
6,8,King,East Side,BKR,BKR
7,8,King,East Side,BKR,BKR
8,8,King,East Side,BKR,BKR
9,8,King,East Side,BKR,BKR
10,8,King,East Side,BKR,BKR
11,8,King,East Side,BKR,BKR
12,8,King,East Side,BKR,BKR
13,8,King,East Side,BKR,BKR
14,8,King,East Side,BKR,BKR
15,8,King,East Side,BKR,BKR
16,8,King,East Side,BKR,BKR
17,8,King,East Side,BKR,BKR
18,8,King,East Side,BKR,BKR
19,8,King,East Side,BKR,BKR
20,8,King,East Side,BKR,BKR
21,8,King,East Side,BKR,BKR
22,8,King,East Side,BKR,BKR
23,8,King,East Side,BKR,BKR
24,8,King,East Side,BKR,BKR
25,8,King,East Side,BKR,BKR
26,8,King,East Side,BKR,BKR
27,8,King,East Side,BKR,BKR
28,8,King,East Side,BKR,BKR
29,8,King,East Side,BKR,BKR
30,8,King,East Side,BKR,BKR
31,8,King,East Side,BKR,BKR
32,8,King,East Side,BKR,BKR
33,8,King,East Side,BKR,BKR
34,8,King,East Side,BKR,BKR
35,8,King,East Side,BKR,BKR
36,8,King,East Side,BKR,BKR
37,8,King,East Side,BKR,BKR
38,8,King,East Side,BKR,BKR
39,8,King,East Side,BKR,BKR
40,8,King,East Side,BKR,BKR
41,8,King,East Side,BKR,BKR
42,8,King,East Side,BKR,BKR
43,8,King,East Side,BKR,BKR
44,8,King,East Side,BKR,BKR
45,8,King,East Side,BKR,BKR
46,8,King,East Side,BKR,BKR
47,8,King,East Side,BKR,BKR
48,8,King,East Side,BKR,BKR
49,8,King,East Side,BKR,BKR
50,8,King,East Side,BKR,BKR
51,8,King,East Side,BKR,BKR
52,8,King,East Side,BKR,BKR
53,8,King,East Side,BKR,BKR
54,8,King,East Side,BKR,BKR
55,8,King,East Side,BKR,BKR
56,8,King,East Side,BKR,BKR
57,8,King,East Side,BKR,BKR
58,8,King,East Side,BKR,BKR
59,8,King,East Side,BKR,BKR
60,8,King,East Side,BKR,BKR
61,8,King,East Side,BKR,BKR
62,8,King,East Side,BKR,BKR
63,8,King,East Side,BKR,BKR
64,8,King,East Side,BKR,BKR
65,8,King,East Side,BKR,BKR
66,8,King,East Side,BKR,BKR
67,8,King,East Side,BKR,BKR
68,8,King,East Side,BKR,BKR
69,8,King,East Side,BKR,BKR
70,8,King,East Side,BKR,BKR
71,8,King,East Side,BKR,BKR
72,8,King,East Side,BKR,BKR
73,8,King,East Side,BKR,BKR
74,8,King,East Side,BKR,BKR
75,8,King,East Side,BKR,BKR
76,8,King,East Side,BKR,BKR
77,8,King,East Side,BKR,BKR
78,8,King,East Side,BKR,BKR
79,8,King,East Side,BKR,BKR
80,8,King,East Side,BKR,BKR
81,8,King,East Side,BKR,BKR
82,8,King,East Side,BKR,BKR
83,8,King,East Side,BKR,BKR
84,8,King,East Side,BKR,BKR
85,8,King,East Side,BKR,BKR
86,8,King,East Side,BKR,BKR
87,9,King,East Side,BKR,BKR
88,8,King,East Side,BKR,BKR
89,8,King,East Side,BKR,BKR
90,8,King,East Side,BKR,BKR
91,8,King,East Side,BKR,BKR
92,8,King,East Side,BKR,BKR
93,8,King,East Side,BKR,BKR
94,8,King,East Side,BKR,BKR
95,8,King,East Side,BKR,BKR
96,8,King,East Side,BKR,BKR
97,8,King,East Side,BKR,BKR
98,8,King,East Side,BKR,BKR
99,8,King,East Side,BKR,BKR
100,8,King,East Side,BKR,BKR
101,8,King,East Side,BKR,BKR
102,8,King,East Side,BKR,BKR
103,8,King,East Side,BKR,BKR
104,8,King,East Side,BKR,BKR
105,8,King,East Side,BKR,BKR
106,8,King,East Side,BKR,BKR
107,8,King,East Side,BKR,BKR
108,8,King,East Side,BKR,BKR
109,9,King,East Side,BKR,BKR
110,9,King,East Side,BKR,BKR
111,8,King,East Side,BKR,BKR
112,9,King,East Side,BKR,BKR
113,9,King,East Side,BKR,BKR
114,9,King,East Side,BKR,BKR
115,9,King,East Side,BKR,BKR
116,9,King,East Side,BKR,BKR
117,9,King,East Side,BKR,BKR
118,9,King,East Side,BKR,BKR
119,9,King,East Side,BKR,BKR
120,9,King,East Side,BKR,BKR
121,9,King,East Side,BKR,BKR
122,9,King,East Side,BKR,BKR
123,9,King,East Side,BKR,BKR
124,9,King,East Side,BKR,BKR
125,9,King,East Side,BKR,BKR
126,9,King,East Side,BKR,BKR
127,8,King,East Side,BKR,BKR
128,9,King,East Side,BKR,BKR
129,9,King,East Side,BKR,BKR
130,9,King,East Side,BKR,BKR
131,9,King,East Side,BKR,BKR
132,9,King,East Side,BKR,BKR
133,8,King,East Side,BKR,BKR
134,8,King,East Side,BKR,BKR
135,8,King,East Side,BKR,BKR
136,8,King,East Side,BKR,BKR
137,8,King,East Side,BKR,BKR
138,8,King,East Side,BKR,BKR
139,8,King,East Side,BKR,BKR
140,8,King,East Side,BKR,BKR
141,8,King,East Side,BKR,BKR
142,8,King,East Side,BKR,BKR
143,8,King,East Side,BKR,BKR
144,8,King,East Side,BKR,BKR
145,8,King,East Side,BKR,BKR
146,8,King,East Side,BKR,BKR
147,8,King,East Side,BKR,BKR
148,8,King,East Side,BKR,BKR
149,8,King,East Side,BKR,BKR
150,8,King,East Side,BKR,BKR
151,8,King,East Side,BKR,BKR
152,8,King,East Side,BKR,BKR
153,8,King,East Side,BKR,BKR
154,8,King,East Side,BKR,BKR
155,8,King,East Side,BKR,BKR
156,8,King,East Side,BKR,BKR
157,8,King,East Side,BKR,BKR
158,8,King,East Side,BKR,BKR
159,8,King,East Side,BKR,BKR
160,8,King,East Side,BKR,BKR
161,8,King,East Side,BKR,BKR
162,8,King,East Side,BKR,BKR
163,8,King,East Side,BKR,BKR
164,8,King,East Side,BKR,BKR
165,8,King,East Side,BKR,BKR
166,8,King,East Side,BKR,BKR
167,8,King,East Side,BKR,BKR
168,8,King,East Side,BKR,BKR
169,8,King,East Side,BKR,BKR
170,8,King,East Side,BKR,BKR
171,8,King,East Side,BKR,BKR
172,8,King,East Side,BKR,BKR
173,8,King,East Side,BKR,BKR
174,8,King,East Side,BKR,BKR
175,8,King,East Side,BKR,BKR
