NodeID,ZoneID,XCoord,YCoord,Description,EMME_Description,2023_Capacity,Project_Year,New_Spaces,Imp_Capacity,Source
1361,1361,1206035,120390,Gig Harbor P&R,NGIG,306,,,306,
1362,1362,1241470,35025,Roy P&R,ROYY,100,,,100,
1363,1363,1274490,54765,Closed,SHIL,0,,,0,
1364,1364,1241613,58696.08,Parkland P&R,PRKL,62,,,62,
1365,1365,1229565,64074.52,I 5/SR 512 P&R,LKWD,1093,,,1093,Includes Lakewood Sounder Station Parking Garage
1366,1366,1227320,89820,Center Street P&R,CTRS,75,,,75,
1367,1367,1235211,79321.24,South Tacoma West P&R,TACW,78,,,78,
1368,1368,1236327,79491.17,South Tacoma East II,TCE1,44,,,44,
1369,1369,1217450,97995,Narrows/Skyline P&R,NRWS,195,,,195,
1370,1370,1196455,147170,Purdy P&R,PRDY,200,,,200,
1371,1371,1272140,109335,South Federal Way P&R,SFED,515,,,515,
1372,1372,1267995,111245,Sunrise United Methodist Church,SVBP,25,,,25,
1373,1373,1373895,316640,Sultan P&R,SULT,38,,,38,
1374,1374,1276380,117320,Federal Way/S 320 St P&R,FEDW,877,,,877,
1375,1375,1294747,120372.3,Auburn P&R,AUBR,358,,,358,
1376,1376,1277085,134070,Star Lake P&R,STLK,0,2024,1100,1100,Sound Transit New Link Station Parking
1377,1377,1305215,144170,Kent Churches ,KNTU,63,,,63,
1378,1378,1279987,145218.8,Kent Des Moines P&R,KDMN,370,2024,500,870,Sound Transit New Link Station Parking
1379,1379,1291220,143940,Kent/James St P&R,KENT,713,,,713,
1380,1380,1268454,175001.9,Burien TC P&R,BURN,504,,,504,
1381,1381,1284697,180535.4,Tukwila P&R,TUKW,255,,,255,
1382,1382,1340410,146420,Maple Valley P&R,MPLV,122,,,122,
1383,1383,1299038,175401.3,South Renton P&R,SREN,385,2024,700,1085,Sound Transit Stride Parking Garage
1384,1384,1300372,178313.1,Renton Transit Center P&R,RENT,300,,,300,
1385,1385,1306578,187322.4,St. Matthew Lutheran Church,RENH,128,,,128,
1386,1386,1336870,200050,Issaquah Transit Center P&R,ISSQ,819,,,819,
1387,1387,1295375,217950.6,Mercer Island P&R,MCRI,447,,,447,No new Link Parking
1388,1388,1291657,217931.8,Mercer Island United Methodist Church,MCRP,18,,,18,
1389,1389,1305796,206007.7,Newport Hills P&R,NPTH,275,,,275,
1390,1390,1308304,204299,Newport Hills Community Church,NHBP,37,,,37,
1391,1391,1310434,208776.6,Newport Covenant Church,NHCV,75,,,75,
1392,1392,1305825,217107.5,South Bellevue P&R,SBEL,1500,,,1500,
1393,1393,1306915,222925,Wilburton P&R,WILB,186,,,186,
1394,1394,1314903,214602.6,Eastgate P&R,ESTG,1614,,,1614,
1395,1395,1293699,235071.1,Evergreen Point Bridge P&R,EPBR,48,,,48,
1396,1396,1300681,228020.3,Grace Lutheran Church,GRCE,50,,,50,
1397,1397,1304527,237926.4,South Kirkland P&R,SKRK,833,,,833,
1398,1398,1319000,233570,Overlake P&R,OVRL,203,,,203,
1399,1399,1307495,246240,Houghton P&R (Closed),HOUG,0,,,0,
1400,1400,1274811,279071.3,Aurora Church of the Nazarene/Buddha Jewel Monastery,BTHL,156,,,156,
1401,1401,1322530,249278.6,Redmond Transit Center P&R,RDMD,377,,,377,No new Link Parking
1402,1402,1296325,229802.5,Closed,STOM,0,,,0,
1403,1403,1237407,158569.1,Valley Center P&R,VASC,55,,,55,
1404,1404,1327214,248515.9,Bear Creek P&R,BRCR,344,,,344,
1405,1405,1307005,264310.8,Kingsgate P&R,KNGG,502,2024,600,1102,Sound Transit Stride Parking Garage
1406,1406,1307018,273221.4,Brickyard P&R,BRKY,443,,,443,
1407,1407,1293871,279795,Kenmore P&R,KENM,603,2033,300,903,Sound Transit Stride Parking Garage
1408,1408,1289155,280060,The Vine Church,BBAP,75,,,75,
1409,1409,1303668,280084.1,Bothell P&R,BOTH,220,2033,300,520,Sound Transit Stride Parking Garage
1410,1410,1316315,278496.8,Woodinville P&R,WDNV,438,,,438,
1411,1411,1269152,185396.1,Olson/Myers P&R,OLSM,100,,,100,
1412,1412,1263363,212593.4,SW Spokane Street P&R,SPKN,55,,,55,
1413,1413,1274467,249822.8,Green Lake P&R,GRNL,411,,,411,
1414,1414,1273429,259585.9,Thornton Place Garage,NGAT,350,,,350,
1415,1415,1272795,259749.2,Northgate Transit Center P&R,NSEA,1310,,,1310,
1416,1416,1273592,272095.4,Shoreline/145th Link Station P&R,NJKP,0,2024,500,500,Sound Transit New Link Station Parking
1417,1417,1278919,271347.6,Price of Peace Lutheran Church/Shorline United Methodist Church,LKEL,40,,,40,
1418,1418,1268964,281723.6,Shoreline P&R,SHRL,393,,,393,
1419,1419,1238445,170296.3,Ober Park P&R,OBER,57,,,57,
1420,1420,1278150,290608.9,Closed,MNTT,0,,,0,
