ENS,HR_COST,DAY_COST,year
gz1,390,1464,2014
gz2,139,614,2014
gz3,129,812,2014
gz4,223,915,2014
gz5,246,1111,2014
gz6,615,2416,2014
gz7,332,1564,2014
gz8,347,1736,2014
gz9,258,1442,2014
gz10,383,1669,2014
gz11,415,1787,2014
gz12,0,0,2014
gz13,0,0,2014
gz14,0,0,2014
gz15,0,0,2014
gz16,0,0,2014
gz17,0,0,2014
gz18,0,0,2014
gz19,0,0,2014
gz20,0,0,2014
gz21,0,0,2014
gz22,0,0,2014
gz23,0,0,2014
gz24,0,0,2014
gz25,0,0,2014
gz26,0,0,2014
gz27,0,0,2014
gz28,0,0,2014
gz29,0,0,2014
gz30,0,0,2014
gz31,0,0,2014
gz32,0,0,2014
gz33,0,0,2014
gz34,0,0,2014
gz35,0,0,2014
gz36,0,0,2014
gz37,0,0,2014
gz38,0,0,2014
gz39,0,0,2014
gz40,0,0,2014
gz41,0,0,2014
gz42,0,0,2014
gz43,0,0,2014
gz44,0,0,2014
gz1,390,1464,2018
gz2,139,614,2018
gz3,129,812,2018
gz4,223,915,2018
gz5,246,1111,2018
gz6,615,2416,2018
gz7,332,1564,2018
gz8,347,1736,2018
gz9,258,1442,2018
gz10,383,1669,2018
gz11,415,1787,2018
gz12,0,0,2018
gz13,0,0,2018
gz14,0,0,2018
gz15,0,0,2018
gz16,0,0,2018
gz17,0,0,2018
gz18,0,0,2018
gz19,0,0,2018
gz20,0,0,2018
gz21,0,0,2018
gz22,0,0,2018
gz23,0,0,2018
gz24,0,0,2018
gz25,0,0,2018
gz26,0,0,2018
gz27,0,0,2018
gz28,0,0,2018
gz29,0,0,2018
gz30,0,0,2018
gz31,0,0,2018
gz32,0,0,2018
gz33,0,0,2018
gz34,0,0,2018
gz35,0,0,2018
gz36,0,0,2018
gz37,0,0,2018
gz38,0,0,2018
gz39,0,0,2018
gz40,0,0,2018
gz41,0,0,2018
gz42,0,0,2018
gz43,0,0,2018
gz44,0,0,2018
gz1,390,1464,2023
gz2,139,614,2023
gz3,129,812,2023
gz4,223,915,2023
gz5,246,1111,2023
gz6,615,2416,2023
gz7,332,1564,2023
gz8,347,1736,2023
gz9,258,1442,2023
gz10,383,1669,2023
gz11,415,1787,2023
gz12,0,0,2023
gz13,0,0,2023
gz14,0,0,2023
gz15,0,0,2023
gz16,0,0,2023
gz17,0,0,2023
gz18,0,0,2023
gz19,0,0,2023
gz20,0,0,2023
gz21,0,0,2023
gz22,0,0,2023
gz23,0,0,2023
gz24,0,0,2023
gz25,0,0,2023
gz26,0,0,2023
gz27,0,0,2023
gz28,0,0,2023
gz29,0,0,2023
gz30,0,0,2023
gz31,0,0,2023
gz32,0,0,2023
