Jurisdiction,BKRCastTAZ,LUType,Subarea,SubareaName,PMA_ID,PMA_NAME,BKRDistrict,DistrictFlowID,Area,County
BELLEVUE,1,Regular,3,Downtown,1,HDMX,62,2,332323.1344,King
BELLEVUE,2,Regular,3,Downtown,1,HDMX,62,2,230403.6827,King
BELLEVUE,3,Regular,3,Downtown,1,HDMX,62,2,183625.6801,King
BELLEVUE,4,Regular,3,Downtown,1,HDMX,62,2,426674.4649,King
BELLEVUE,5,Regular,3,Downtown,1,HDMX,62,2,471360.8186,King
BELLEVUE,6,Regular,3,Downtown,1,HDMX,62,2,405366.6962,King
BELLEVUE,7,Regular,3,Downtown,1,HDMX,62,2,433195.5996,King
BELLEVUE,8,Regular,3,Downtown,1,HDMX,62,2,443302.4646,King
BELLEVUE,9,Regular,3,Downtown,1,HDMX,62,2,440108.9228,King
BELLEVUE,10,Regular,3,Downtown,1,HDMX,62,2,439042.6664,King
BELLEVUE,11,Regular,3,Downtown,1,HDMX,62,2,1740432.929,King
BELLEVUE,12,Park,3,Downtown,1,HDMX,62,2,1019041.846,King
BELLEVUE,13,Regular,3,Downtown,1,HDMX,62,2,114208.9575,King
BELLEVUE,14,Regular,3,Downtown,1,HDMX,62,2,248158.202,King
BELLEVUE,15,Regular,3,Downtown,1,HDMX,62,2,359100.0234,King
BELLEVUE,16,Regular,3,Downtown,1,HDMX,62,2,202390.8131,King
BELLEVUE,17,Regular,3,Downtown,1,HDMX,62,2,269244.2404,King
BELLEVUE,18,Regular,3,Downtown,1,HDMX,62,2,240757.9646,King
BELLEVUE,19,Regular,3,Downtown,1,HDMX,62,2,368639.2148,King
BELLEVUE,20,Regular,3,Downtown,1,HDMX,62,2,227315.8438,King
BELLEVUE,21,Regular,3,Downtown,1,HDMX,62,2,216103.624,King
BELLEVUE,22,Regular,3,Downtown,1,HDMX,62,2,439536.8521,King
BELLEVUE,23,Regular,3,Downtown,1,HDMX,62,2,472201.0901,King
BELLEVUE,24,Regular,3,Downtown,1,HDMX,62,2,401875.0171,King
BELLEVUE,25,Regular,3,Downtown,1,HDMX,62,2,371966.2906,King
BELLEVUE,26,Regular,3,Downtown,1,HDMX,62,2,209101.0279,King
BELLEVUE,27,Regular,3,Downtown,1,HDMX,62,2,220131.8807,King
BELLEVUE,28,Regular,3,Downtown,1,HDMX,62,2,199683.9816,King
BELLEVUE,29,Regular,3,Downtown,1,HDMX,62,2,418927.875,King
BELLEVUE,30,Regular,3,Downtown,1,HDMX,62,2,435010.2418,King
BELLEVUE,31,Regular,3,Downtown,1,HDMX,62,2,220618.2707,King
BELLEVUE,32,Regular,3,Downtown,1,HDMX,62,2,223803.5265,King
BELLEVUE,33,Regular,3,Downtown,1,HDMX,62,2,435820.645,King
BELLEVUE,34,Regular,3,Downtown,1,HDMX,62,2,423152.3598,King
BELLEVUE,35,Regular,3,Downtown,1,HDMX,62,2,438746.2689,King
BELLEVUE,36,Regular,3,Downtown,1,HDMX,62,2,437842.2409,King
BELLEVUE,37,Regular,3,Downtown,1,HDMX,62,2,757209.3381,King
BELLEVUE,38,Regular,3,Downtown,1,HDMX,62,2,436827.716,King
BELLEVUE,39,Regular,3,Downtown,1,HDMX,62,2,437363.3381,King
BELLEVUE,40,Regular,3,Downtown,1,HDMX,62,2,439753.7954,King
BELLEVUE,41,Regular,3,Downtown,1,HDMX,62,2,436052.1034,King
BELLEVUE,42,Regular,3,Downtown,1,HDMX,62,2,440483.0392,King
BELLEVUE,43,Regular,3,Downtown,1,HDMX,62,2,471933.8225,King
BELLEVUE,44,Regular,3,Downtown,1,HDMX,62,2,453444.437,King
BELLEVUE,45,Regular,3,Downtown,1,HDMX,62,2,474671.6956,King
BELLEVUE,46,Regular,3,Downtown,1,HDMX,62,2,479542.2978,King
BELLEVUE,47,Regular,1,North Bellevue,3,LDRN,61,1,375985.9329,King
BELLEVUE,48,Park,1,North Bellevue,3,LDRN,61,1,901700.5332,King
BELLEVUE,49,Regular,1,North Bellevue,3,LDRN,61,1,1711148.36,King
BELLEVUE,50,Regular,1,North Bellevue,3,LDRN,61,1,1029353.444,King
BELLEVUE,51,Regular,1,North Bellevue,3,LDRN,61,1,1321243.899,King
BELLEVUE,52,Regular,1,North Bellevue,3,LDRN,61,1,1720412.331,King
BELLEVUE,53,Regular,1,North Bellevue,3,LDRN,61,1,1636750.872,King
BELLEVUE,54,Regular,1,North Bellevue,3,LDRN,61,1,3528312.449,King
BELLEVUE,55,Regular,1,North Bellevue,3,LDRN,61,1,938182.5207,King
BELLEVUE,56,Regular,1,North Bellevue,3,LDRN,61,1,1164276.823,King
BELLEVUE,57,Regular,1,North Bellevue,3,LDRN,61,1,1169239.776,King
BELLEVUE,58,Regular,1,North Bellevue,3,LDRN,61,1,585551.4546,King
BELLEVUE,59,Regular,1,North Bellevue,3,LDRN,61,1,627229.3428,King
BELLEVUE,60,Regular,1,North Bellevue,3,LDRN,61,1,856112.2868,King
BELLEVUE,61,Regular,1,North Bellevue,3,LDRN,61,1,858944.2466,King
BELLEVUE,62,Regular,1,North Bellevue,3,LDRN,61,1,673071.5822,King
BELLEVUE,63,Regular,1,North Bellevue,3,LDRN,61,1,450571.3116,King
BELLEVUE,64,Regular,1,North Bellevue,3,LDRN,61,1,1345174.484,King
BELLEVUE,65,Regular,1,North Bellevue,3,LDRN,61,1,762896.0037,King
BELLEVUE,66,Regular,1,North Bellevue,3,LDRN,61,1,982978.9122,King
BELLEVUE,67,Regular,1,North Bellevue,3,LDRN,61,1,1139413.304,King
