BKRCastTAZ,county,jblm,external
1,King,0,0
2,King,0,0
3,King,0,0
4,King,0,0
5,King,0,0
6,King,0,0
7,King,0,0
8,King,0,0
9,King,0,0
10,King,0,0
11,King,0,0
12,King,0,0
13,King,0,0
14,King,0,0
15,King,0,0
16,King,0,0
17,King,0,0
18,King,0,0
19,King,0,0
20,King,0,0
21,King,0,0
22,King,0,0
23,King,0,0
24,King,0,0
25,King,0,0
26,King,0,0
27,King,0,0
28,King,0,0
29,King,0,0
30,King,0,0
31,King,0,0
32,King,0,0
33,King,0,0
34,King,0,0
35,King,0,0
36,King,0,0
37,King,0,0
38,King,0,0
39,King,0,0
40,King,0,0
41,King,0,0
42,King,0,0
43,King,0,0
44,King,0,0
45,King,0,0
46,King,0,0
47,King,0,0
48,King,0,0
49,King,0,0
50,King,0,0
51,King,0,0
52,King,0,0
53,King,0,0
54,King,0,0
55,King,0,0
56,King,0,0
57,King,0,0
58,King,0,0
59,King,0,0
60,King,0,0
61,King,0,0
62,King,0,0
63,King,0,0
64,King,0,0
65,King,0,0
66,King,0,0
67,King,0,0
68,King,0,0
69,King,0,0
70,King,0,0
71,King,0,0
72,King,0,0
73,King,0,0
74,King,0,0
75,King,0,0
76,King,0,0
77,King,0,0
78,King,0,0
79,King,0,0
80,King,0,0
81,King,0,0
82,King,0,0
83,King,0,0
84,King,0,0
85,King,0,0
86,King,0,0
87,King,0,0
88,King,0,0
89,King,0,0
90,King,0,0
91,King,0,0
92,King,0,0
93,King,0,0
94,King,0,0
95,King,0,0
96,King,0,0
97,King,0,0
98,King,0,0
99,King,0,0
100,King,0,0
101,King,0,0
102,King,0,0
103,King,0,0
104,King,0,0
105,King,0,0
106,King,0,0
107,King,0,0
108,King,0,0
109,King,0,0
110,King,0,0
111,King,0,0
112,King,0,0
113,King,0,0
114,King,0,0
115,King,0,0
116,King,0,0
117,King,0,0
118,King,0,0
119,King,0,0
120,King,0,0
121,King,0,0
122,King,0,0
123,King,0,0
124,King,0,0
125,King,0,0
126,King,0,0
127,King,0,0
128,King,0,0
129,King,0,0
130,King,0,0
131,King,0,0
132,King,0,0
133,King,0,0
134,King,0,0
135,King,0,0
136,King,0,0
137,King,0,0
138,King,0,0
139,King,0,0
140,King,0,0
141,King,0,0
142,King,0,0
143,King,0,0
144,King,0,0
145,King,0,0
146,King,0,0
147,King,0,0
148,King,0,0
149,King,0,0
150,King,0,0
151,King,0,0
152,King,0,0
153,King,0,0
154,King,0,0
155,King,0,0
156,King,0,0
157,King,0,0
158,King,0,0
159,King,0,0
160,King,0,0
161,King,0,0
162,King,0,0
163,King,0,0
164,King,0,0
165,King,0,0
166,King,0,0
167,King,0,0
168,King,0,0
169,King,0,0
170,King,0,0
171,King,0,0
172,King,0,0
173,King,0,0
174,King,0,0
175,King,0,0
176,King,0,0
177,King,0,0
178,King,0,0
179,King,0,0
180,King,0,0
181,King,0,0
182,King,0,0
183,King,0,0
184,King,0,0
185,King,0,0
186,King,0,0
187,King,0,0
188,King,0,0
189,King,0,0
190,King,0,0
191,King,0,0
192,King,0,0
193,King,0,0
194,King,0,0
195,King,0,0
196,King,0,0
197,King,0,0
198,King,0,0
199,King,0,0
200,King,0,0
201,King,0,0
202,King,0,0
203,King,0,0
204,King,0,0
205,King,0,0
206,King,0,0
207,King,0,0
208,King,0,0
209,King,0,0
210,King,0,0
211,King,0,0
212,King,0,0
213,King,0,0
214,King,0,0
215,King,0,0
216,King,0,0
217,King,0,0
218,King,0,0
219,King,0,0
220,King,0,0
221,King,0,0
222,King,0,0
223,King,0,0
224,King,0,0
225,King,0,0
226,King,0,0
227,King,0,0
228,King,0,0
229,King,0,0
230,King,0,0
231,King,0,0
232,King,0,0
233,King,0,0
234,King,0,0
235,King,0,0
236,King,0,0
237,King,0,0
238,King,0,0
239,King,0,0
240,King,0,0
241,King,0,0
242,King,0,0
243,King,0,0
244,King,0,0
245,King,0,0
246,King,0,0
247,King,0,0
248,King,0,0
249,King,0,0
250,King,0,0
251,King,0,0
252,King,0,0
253,King,0,0
254,King,0,0
255,King,0,0
256,King,0,0
257,King,0,0
258,King,0,0
259,King,0,0
260,King,0,0
261,King,0,0
262,King,0,0
263,King,0,0
264,King,0,0
265,King,0,0
266,King,0,0
267,King,0,0
268,King,0,0
269,King,0,0
270,King,0,0
271,King,0,0
272,King,0,0
273,King,0,0
274,King,0,0
275,King,0,0
276,King,0,0
277,King,0,0
278,King,0,0
279,King,0,0
280,King,0,0
281,King,0,0
282,King,0,0
283,King,0,0
284,King,0,0
285,King,0,0
286,King,0,0
287,King,0,0
288,King,0,0
289,King,0,0
290,King,0,0
291,King,0,0
292,King,0,0
293,King,0,0
294,King,0,0
295,King,0,0
296,King,0,0
297,King,0,0
298,King,0,0
299,King,0,0
300,King,0,0
301,King,0,0
302,King,0,0
303,King,0,0
304,King,0,0
305,King,0,0
306,King,0,0
307,King,0,0
308,King,0,0
309,King,0,0
310,King,0,0
311,King,0,0
312,King,0,0
313,King,0,0
314,King,0,0
315,King,0,0
316,King,0,0
317,King,0,0
318,King,0,0
319,King,0,0
320,King,0,0
321,King,0,0
322,King,0,0
323,King,0,0
324,King,0,0
325,King,0,0
326,King,0,0
327,King,0,0
328,King,0,0
329,King,0,0
330,King,0,0
331,King,0,0
332,King,0,0
333,King,0,0
334,King,0,0
335,King,0,0
336,King,0,0
337,King,0,0
338,King,0,0
339,King,0,0
340,King,0,0
341,King,0,0
342,King,0,0
343,King,0,0
344,King,0,0
345,King,0,0
346,King,0,0
347,King,0,0
348,King,0,0
349,King,0,0
350,King,0,0
351,King,0,0
352,King,0,0
353,King,0,0
354,King,0,0
355,King,0,0
356,King,0,0
357,King,0,0
358,King,0,0
359,King,0,0
360,King,0,0
361,King,0,0
362,King,0,0
363,King,0,0
364,King,0,0
365,King,0,0
366,King,0,0
367,King,0,0
368,King,0,0
369,King,0,0
370,King,0,0
371,King,0,0
372,King,0,0
373,King,0,0
374,King,0,0
375,King,0,0
376,King,0,0
377,King,0,0
378,King,0,0
379,King,0,0
380,King,0,0
381,King,0,0
382,King,0,0
383,King,0,0
384,King,0,0
385,King,0,0
386,King,0,0
387,King,0,0
388,King,0,0
389,King,0,0
390,King,0,0
391,King,0,0
392,King,0,0
393,King,0,0
394,King,0,0
395,King,0,0
396,King,0,0
397,King,0,0
398,King,0,0
399,King,0,0
400,King,0,0
401,King,0,0
402,King,0,0
403,King,0,0
404,King,0,0
405,King,0,0
406,King,0,0
407,King,0,0
408,King,0,0
409,King,0,0
410,King,0,0
411,King,0,0
412,King,0,0
413,King,0,0
414,King,0,0
415,King,0,0
416,King,0,0
417,King,0,0
418,King,0,0
419,King,0,0
420,King,0,0
421,King,0,0
