record,year,htkpro,htkatt,BKRCastTAZ
1,2014,81.83,67.03200000000001,1271
1,2014,1.67,1.368,1272
2,2014,21.0,16.0,1271
3,2014,32.1,28.3,1271
4,2014,5.0489999999999995,11.385,1270
4,2014,0.051,0.115,1273
5,2014,73.2,58.3,1270
6,2014,0.358,0.43200000000000005,1269
6,2014,35.442,42.768,1270
7,2014,0.4,0.5,1270
8,2014,1.6580000000000001,1.6840000000000002,1269
8,2014,164.142,166.716,1270
9,2014,0.222,0.278,1268
9,2014,10.878,13.622,1271
10,2014,21.266,21.266,1267
10,2014,0.434,0.434,1271
11,2014,0.97,0.388,1266
11,2014,0.03,0.012,1267
12,2014,0.0,0.0,1266
13,2014,0.7,1.7,1267
14,2014,8.835,6.46,1267
14,2014,0.4650000000000001,0.34,1268
15,2014,78.8,88.4,1268
16,2014,84.6,100.8,1268
17,2014,8.0,18.6,1269
18,2014,6.336,5.742,1269
18,2014,0.064,0.057999999999999996,1270
19,2014,0.94,1.504,1269
19,2014,0.03,0.048,1270
19,2014,0.03,0.048,1344
20,2014,1.9,3.0,1344
21,2014,4.6,10.8,1344
22,2014,24.8,14.3,1269
23,2014,67.4,43.0,1269
24,2014,38.1,24.4,1269
25,2014,12.1,21.4,1268
26,2014,1.7360000000000002,1.8620000000000003,1264
26,2014,10.664,11.438,1267
27,2014,0.8,1.2,1267
28,2014,3.395,2.7159999999999997,1266
28,2014,0.105,0.08399999999999999,1267
29,2014,1.5,6.3,1266
30,2014,8.4,6.0,1265
31,2014,0.41200000000000003,0.204,1264
31,2014,9.888,4.896,1265
32,2014,0.414,0.303,1264
32,2014,13.386000000000001,9.796999999999999,1265
33,2014,48.0,22.3,1264
34,2014,27.4,22.3,1264
35,2014,44.3,41.0,1262
36,2014,21.0,21.6,1261
37,2014,26.5,26.8,1261
38,2014,26.6,27.7,1344
39,2014,1.3,1.1,1344
40,2014,1.7,1.3,1344
41,2014,21.4,20.2,1343
42,2014,5.4,8.2,1343
43,2014,0.297,0.495,1343
43,2014,0.003,0.005,1344
44,2014,12.6,10.7,1343
45,2014,10.3,3.9,1261
46,2014,9.009,14.652000000000001,1261
46,2014,0.091,0.14800000000000002,1262
47,2014,49.1,40.7,1262
48,2014,3.3,4.3,1262
49,2014,7.1,5.7,1265
50,2014,18.2,27.2,1265
51,2014,6.555,4.845,1265
51,2014,0.34500000000000003,0.255,1266
52,2014,31.5,8.6,1266
53,2014,0.0,0.0,1258
53,2014,0.0,0.0,1266
54,2014,39.6,37.6,1258
55,2014,22.0,21.5,1263
56,2014,10.7,8.6,1263
57,2014,13.44,7.008,1263
57,2014,0.56,0.292,1265
58,2014,1.566,3.654,1263
58,2014,0.234,0.546,1265
59,2014,117.0,116.1,1263
60,2014,98.4,52.7,1264
61,2014,18.0,48.9,1262
62,2014,1.1,0.4,1262
63,2014,0.7,0.4,1262
64,2014,188.3,173.2,1343
65,2014,126.9,131.4,1343
66,2014,45.4,38.2,1260
67,2014,63.4,68.2,1260
68,2014,34.3,46.3,1260
69,2014,1.548,2.132,1260
69,2014,37.152,51.16799999999999,1262
70,2014,134.1,117.5,1262
71,2014,89.49,110.96,1259
71,2014,4.71,5.84,1264
72,2014,108.0,116.3,1259
73,2014,99.5,127.4,1259
74,2014,28.9,61.7,1260
75,2014,6.5,8.1,1345
76,2014,3.267,1.881,1345
76,2014,0.033,0.019,1348
77,2014,45.0,46.5,1345
78,2014,9.8,20.9,1345
79,2014,15.5,19.7,1345
80,2014,40.194,40.391999999999996,1342
80,2014,0.406,0.408,1345
81,2014,1.6,4.8,1342
82,2014,238.23800000000003,237.32800000000003,1342
82,2014,23.562,23.472,1345
83,2014,3.4020000000000006,4.536,1342
83,2014,0.798,1.0639999999999998,1345
84,2014,25.7,24.4,1342
85,2014,23.1,12.2,1342
86,2014,11.8,12.9,1341
87,2014,26.4,30.8,1257
88,2014,33.8,32.1,1257
89,2014,0.9,3.5,1257
90,2014,108.375,34.595,1255
90,2014,19.125,6.105,1257
91,2014,6.6,2.7,1257
92,2014,0.154,0.11800000000000001,1254
92,2014,15.246,11.682,1257
93,2014,8.1,1.8,1257
94,2014,49.0,68.2,1257
95,2014,59.8,48.3,1341
96,2014,19.998,10.692,1341
96,2014,10.302000000000001,5.508,1342
97,2014,1.4,0.7,1342
98,2014,1.272,2.19,1340
98,2014,19.716,33.945,1341
98,2014,0.212,0.365,1342
99,2014,65.475,34.144,1340
99,2014,2.025,1.056,1342
100,2014,0.23500000000000001,0.7859999999999999,1339
100,2014,23.265,77.814,1340
101,2014,1.6280000000000001,1.8519999999999999,1339
101,2014,39.072,44.44799999999999,1340
102,2014,48.6,103.8,1339
103,2014,6.18,11.86,1339
103,2014,117.41999999999999,225.33999999999997,1340
104,2014,67.9,45.2,1339
105,2014,288.1,103.5,1339
106,2014,14.344000000000001,15.048000000000002,1256
106,2014,1.956,2.052,1339
107,2014,129.4,137.3,1256
108,2014,0.902,1.176,1250
108,2014,0.451,0.588,1253
108,2014,43.747,57.035999999999994,1256
109,2014,157.0,90.2,1256
110,2014,117.3,126.5,1256
111,2014,1.067,0.713,1253
111,2014,104.566,69.874,1254
111,2014,1.067,0.713,1256
112,2014,0.4,1.8,1254
113,2014,6.7,11.9,1255
114,2014,14.2,16.3,1255
115,2014,3.3,2.4,1255
116,2014,1.4,7.2,1255
117,2014,18.7,25.4,1254
118,2014,80.3,37.5,1254
119,2014,38.3,44.0,1339
