record,year,matrix_id,geoid10,trips,trip_direction,jblm_gate,origin_zone,destination_zone
1,2014,30,530330303123004.0,2.64,destination,Lewis North,1324,1319
1,2014,30,530330303123004.0,0.36,destination,Lewis North,1352,1319
2,2014,30,530330303123004.0,2.64,destination,Liberty,1324,1319
2,2014,30,530330303123004.0,0.36,destination,Liberty,1352,1319
3,2014,30,530330303123004.0,1.76,destination,Madigan,1324,1319
3,2014,30,530330303123004.0,0.24,destination,Madigan,1352,1319
4,2014,30,530330303123004.0,0.88,destination,McChord Main Gate,1324,1319
4,2014,30,530330303123004.0,0.12,destination,McChord Main Gate,1352,1319
5,2014,30,530330303123004.0,1.76,origin,Lewis North,1319,1324
5,2014,30,530330303123004.0,0.24,origin,Lewis North,1319,1352
6,2014,30,530330303123004.0,2.64,origin,Liberty,1319,1324
6,2014,30,530330303123004.0,0.36,origin,Liberty,1319,1352
7,2014,30,530330303123004.0,1.76,origin,Madigan,1319,1324
7,2014,30,530330303123004.0,0.24,origin,Madigan,1319,1352
8,2014,30,530330303123004.0,0.88,origin,McChord Main Gate,1319,1324
8,2014,30,530330303123004.0,0.12,origin,McChord Main Gate,1319,1352
9,2014,30,530330309021018.0,0.15000000000000002,destination,Lewis North,1320,1319
9,2014,30,530330309021018.0,2.8499999999999996,destination,Lewis North,1325,1319
10,2014,30,530330309021018.0,0.15000000000000002,destination,Liberty,1320,1319
10,2014,30,530330309021018.0,2.8499999999999996,destination,Liberty,1325,1319
11,2014,30,530330309021018.0,0.1,destination,Madigan,1320,1319
11,2014,30,530330309021018.0,1.9,destination,Madigan,1325,1319
12,2014,30,530330309021018.0,0.05,destination,McChord Main Gate,1320,1319
12,2014,30,530330309021018.0,0.95,destination,McChord Main Gate,1325,1319
13,2014,30,530330309021018.0,0.1,origin,Lewis North,1319,1320
13,2014,30,530330309021018.0,1.9,origin,Lewis North,1319,1325
14,2014,30,530330309021018.0,0.15000000000000002,origin,Liberty,1319,1320
14,2014,30,530330309021018.0,2.8499999999999996,origin,Liberty,1319,1325
15,2014,30,530330309021018.0,0.1,origin,Madigan,1319,1320
15,2014,30,530330309021018.0,1.9,origin,Madigan,1319,1325
16,2014,30,530330309021018.0,0.05,origin,McChord Main Gate,1319,1320
16,2014,30,530330309021018.0,0.95,origin,McChord Main Gate,1319,1325
17,2014,30,530330309022014.0,0.08,destination,Lewis North,1320,1319
17,2014,30,530330309022014.0,1.92,destination,Lewis North,1325,1319
18,2014,30,530330309022014.0,0.08,destination,Liberty,1320,1319
18,2014,30,530330309022014.0,1.92,destination,Liberty,1325,1319
19,2014,30,530330309022014.0,0.04,destination,McChord Main Gate,1320,1319
19,2014,30,530330309022014.0,0.96,destination,McChord Main Gate,1325,1319
20,2014,30,530330309022014.0,0.04,destination,Madigan,1320,1319
20,2014,30,530330309022014.0,0.96,destination,Madigan,1325,1319
21,2014,30,530330309022014.0,0.04,origin,Lewis North,1319,1320
21,2014,30,530330309022014.0,0.96,origin,Lewis North,1319,1325
22,2014,30,530330309022014.0,0.08,origin,Liberty,1319,1320
