PARKNAME,OWNER,SHAPE_Area,PSRC_ID,BKRCastTAZ,COUNTY
Riverview Park - Snoqualmie,City of Snoqualmie,97616.66988,1172971,1306,King
Old Fishing Hole Park,City of Kent,184764.289,856183,1325,King
Portage Natural Area,King County Parks and Recreation,16060.01721,726628,1337,King
Tudor Square Park,City of Kent,490435.7853,1218863,1325,King
Boise Creek Park,Other School District,888309.5033,964835,1317,King
Shamrock Park,Si View Metropolitan Park District,143358.9218,1165505,1306,King
Dockton Natural Area,King County Parks and Recreation,1931486.287,911623,1337,King
Jones Lake Open Space,City of Black Diamond,612260.9638,775375,1317,King
Fern Cove,Vashon PRSD,550696.2421,768050,1337,King
Pinnacle Peak Lease Site,King County WLRD,1619607.541,973092,1311,King
Tollgate Farm,King County Parks and Recreation,7295447.628,708080,1306,King
Olympic View Park - Milton,City of Milton,22573.51767,747242,1325,King
Ballfield Park,City of Skykomish,278764.4575,886750,1306,King
Maury Island Natural Area,King County Parks and Recreation,12016746.81,901918,1337,King
Game Farm Wilderness Park,Washington State Parks,2682255.839,911390,1325,King
Martin Johnson Park,City of Enumclaw,193421.9453,855302,1317,King
Riverpoint Park,City of Auburn,165234.1839,1142688,1325,King
Issac Evans Park,City of Auburn,830422.6437,712238,1325,King
Scott Park,City of Enumclaw,16095.28944,872474,1317,King
Bingaman Pond Natural Area,King County Parks and Recreation,748565.2314,957717,1325,King
Wetland 79 Natural Area,King County Parks and Recreation,299602.9475,849979,1312,King
Auburndale Park,City of Auburn,426436.0545,726335,1317,King
Anderson Riverview Park,City of Enumclaw,1101355.031,680299,1311,King
Nolte State Park,Washington State Parks,6756362.232,911562,1311,King
Dorre Don Reach Natural Area,King County Parks and Recreation,4109315.911,836924,1312,King
Vashon Commons,Vashon School District,2208218.097,707279,1337,King
Cemetery Reach Natural Area,King County Parks and Recreation,1997971.628,973686,1317,King
Rotary Centennial Park/Good Will Park,City of Enumclaw,57552.49826,859376,1317,King
Henry Jackson Wilderness,US Forest Service,87763623.66,703157,1306,King
Rotary Park - Auburn,City of Auburn,170878.1543,911380,1325,King
Twin Falls State Park,Washington State Parks,12292957,919124,1311,King
Matchett Park,City of Algona,184705.2222,1268348,1325,King
Green View Park,City of Kent,49672.01811,989953,1325,King
Three Forks Park,King County Parks and Recreation,15784029.51,959020,1306,King
Fulmer Park,City of Auburn,211110.402,887173,1325,King
Milwaukee Park,City of Pacific,12845.58311,1101485,1325,King
Fisher Creek Forest,King County Parks and Recreation,882635.6816,767592,1337,King
Railroad Park,City of Snoqualmie,41579.93349,1172795,1306,King
Flaming Geyser Natural Area,King County Parks and Recreation,3715666.21,901724,1317,King
BN Peninsula Natural Area,King County Parks and Recreation,1091763.906,856315,1312,King
Cougar/Squak Corridor,King County Parks and Recreation,31769306.87,708060,1308,King
Rainier Trails Park,City of Enumclaw,217362.6088,1123729,1317,King
Pinnacle Peak Park,King County Parks and Recreation,15139574.9,973094,1311,King
Farmers Park,City of Enumclaw,403382.3816,838536,1317,King
Tannerwood Neighborhood Park,City of North Bend,34833.45159,1206909,1306,King
Point Heyer Natural Area,King County Parks and Recreation,2580231.469,931110,1337,King
Tramp Harbor Dock,Vashon PRSD,43958.08187,1229735,1337,King
Island Center Forest Natural Area,King County Parks and Recreation,4032725.242,923896,1337,King
Si View Neighborhood Park,City of North Bend,607294.9602,1168744,1306,King
Lake Sawyer Park,City of Black Diamond,78123.454,1088565,1317,King
Tanner Landing Park,King County Parks and Recreation,1777367.118,787382,1306,King
Northilla Beach Natural Area,King County Parks and Recreation,364232.7381,1089861,1337,King
Middle Fork Snoqualmie NRCA,Washington State DNR,385645382.9,856828,1311,King
Boxley Creek Site,King County Parks and Recreation,6387130.198,873800,1310,King
Springwood Park,City of Kent,515425.5554,943174,1325,King
Mount Si NRCA,Washington State DNR,561025776.4,932271,1306,King
Scootie Brown Park,City of Auburn,81982.13177,812881,1325,King
Ellis Creek Natural Area,King County Parks and Recreation,141433.7742,855216,1337,King
Grand Ridge Park,King County Parks and Recreation,56969257.45,863830,1304,King
West Hill Passive Area,City of Pacific,159215.7957,951014,1325,King
Veterans Memorial Park - Auburn,City of Auburn,331712.1836,813049,1325,King
Piner Point Natural Area,King County Parks and Recreation,813973.1154,1089802,1337,King
Levdansky Park,King County Parks and Recreation,752309.1037,813870,1312,King
Kiwanis Park #1,City of Kent,28480.47993,979476,1325,King
Riverfront Park,City of North Bend,205038.9419,1207547,1306,King
Gardiner Weeks Memorial Park,City of North Bend,162588.65,1207488,1306,King
Dykstra Park,City of Auburn,80847.45353,719446,1325,King
Lost Lake Natural Area,King County Parks and Recreation,2249774.154,973353,1337,King
Enumclaw Sportsman Park,City of Enumclaw,560194.3221,831999,1311,King
Middle Fork Snoqualmie Natural Area,King County Parks and Recreation,28378325.23,733416,1306,King
Ellisport Wildlands,Vashon PRSD,753612.9849,707243,1337,King
Rattlesnake Mountain Scenic Area,King County Parks and Recreation,85857204.98,833557,1310,King
Riverview Park - Kent,City of Kent,699095.4834,872900,1325,King
Jellum Site,Washington State Parks,15652349.13,726536,1311,King
Guenther Park,City of Enumclaw,15680.60568,861787,1317,King
Roegner Park,City of Auburn,853355.343,1104869,1325,King
Neely Bridge Natural Area,King County Parks and Recreation,2890016.615,849541,1317,King
Lea Hill Tennis Courts,City of Auburn,66998.38152,947375,1317,King
Kiwanis Park #3,City of Kent,12793.92541,1239224,1325,King
West Tiger Mountain NRCA,Washington State DNR,158402134.9,974417,1309,King
Gaines Park,City of Auburn,58394.36658,1235345,1325,King
Corbin Beach Natural Area,King County Parks and Recreation,147432.6434,814184,1337,King
Inspiration Point,Vashon PRSD,26883.0513,872894,1337,King
Hyde Lake Park,King County Parks and Recreation,3570128.471,911540,1311,King
Wild Sky Wilderness,US Forest Service,543398563.2,722097,1306,King
Union Stump Historical Park,City of Black Diamond,13759.75452,786189,1317,King
Lisabeula Park,Vashon PRSD,275122.9181,748356,1337,King
Dwight Garrett Park,City of Enumclaw,237814.8845,861512,1317,King
Sugarloaf Mountain Forest,King County Parks and Recreation,12743248.83,958049,1311,King
Clark Property Park,City of Auburn,1164948.949,917656,1325,King
Crow Marsh Natural Area,King County Parks and Recreation,1126565.132,719592,1317,King
State Park - Auburn Narrows,Washington State Parks,2762266.591,936166,1317,King
Dockton Forest,King County Parks and Recreation,5649463.91,911621,1337,King
Lower Shinglemill Salmon Preserve,Vashon PRSD,878904.3648,822661,1337,King
Paradise Ridge Park,Vashon PRSD,1891025.708,756571,1337,King
Black Diamond Bridge Site,Washington State Parks,15292593.59,872734,1317,King
Village Square Park,City of Auburn,42524.93602,731912,1317,King
Riversands Park,City of Auburn,74262.32359,1214566,1325,King
Henrys Ridge Open Space,King County Parks and Recreation,10747097.52,1046229,1317,King
Palmer Jellum Connection,Washington State Parks,10490355.23,732069,1311,King
Tanner Trail,City of North Bend,100911.8134,733381,1306,King
Glenn Nelson Park,City of Kent,395503.5348,889511,1325,King
Shinglemill Creek Natural Area,King County Parks and Recreation,3016667.98,814253,1337,King
Shaughnessy Park,City of Auburn,150216.0239,838801,1325,King
