Park,PSRC_ID,BKRCastTAZ,Year,recbpro,recbatt
Newcastle Beak Park,803683,486,2019,100,100
Kirkland Waterfront Park,714277,747,2019,50,50
Juanita Park,925174,791,2019,50,50
Big Finn hill Park,864616,832,2019,50,50
St. Edward State Park,857497,899,2019,50,50
Rhododendron Park,1073016,914,2019,30,30
Bothell Landing,1259115,917,2019,50,50
Redmond City Hall,1126722,1033,2019,100,100
Marymoor Park,757987,1091,2019,200,200
60Acres Park,1258073,1186,2019,50,50
Woodiville ,734591,1197,2019,100,100
Gene Coulon Beach Park,949287,1238,2019,100,100
Luther Burbank Park,713625,1242,2019,100,100
Seward Park,856933,1243,2019,200,200
Colman Park,740427,1244,2019,100,100
Washington Park Arboretum,840622,1257,2019,100,100
UW,797163,1259,2019,400,400
Lake Sammamish Park,833733,1301,2019,200,200
Magnuson Park,688611,1266,2019,200,200
