BKRCastTAZ,enplanements,year
1356,84190,2006
1356,85280,2007
1356,86370,2008
1356,87460,2009
1356,88560,2010
1356,92730,2011
1356,96900,2012
1356,101070,2013
1356,105240,2014
1356,109220,2015
1356,113200,2016
1356,117180,2017
1356,121160,2018
1356,125140,2019
1356,129120,2020
1356,133100,2021
1356,137090,2022
1356,141070,2023
1356,145050,2024
1356,149030,2025
1356,153170,2026
1356,157320,2027
1356,161470,2028
1356,165610,2029
1356,169760,2030
1356,173910,2031
1356,178050,2032
1356,182200,2033
1356,186350,2034
1356,190490,2035
1356,194640,2036
1356,198790,2037
1356,202930,2038
1356,207080,2039
1356,211230,2040
1356,215380,2041
1356,219530,2042
1356,223680,2043
1356,227830,2044
1356,231980,2045
1356,236130,2046
1356,240280,2047
1356,244430,2048
1356,248580,2049
1356,252730,2050
