geoid10,BKRCastTAZ,trips,location,year
530531000000000.0,1357,1535,Tacoma Dome,2000
530531000000000.0,1357,1550,Tacoma Dome,2001
530531000000000.0,1357,1565,Tacoma Dome,2002
530531000000000.0,1357,1580,Tacoma Dome,2003
530531000000000.0,1357,1595,Tacoma Dome,2004
530531000000000.0,1357,1610,Tacoma Dome,2005
530531000000000.0,1357,1626,Tacoma Dome,2006
530531000000000.0,1357,1642,Tacoma Dome,2007
530531000000000.0,1357,1658,Tacoma Dome,2008
530531000000000.0,1357,1674,Tacoma Dome,2009
530531000000000.0,1357,1690,Tacoma Dome,2010
530330000000000.0,1359,6905,Exhibtion Center,2000
530330000000000.0,1359,6972,Exhibtion Center,2001
530330000000000.0,1359,7040,Exhibtion Center,2002
530330000000000.0,1359,7108,Exhibtion Center,2003
530330000000000.0,1359,7177,Exhibtion Center,2004
530330000000000.0,1359,7247,Exhibtion Center,2005
530330000000000.0,1359,7317,Exhibtion Center,2006
530330000000000.0,1359,7388,Exhibtion Center,2007
530330000000000.0,1359,7460,Exhibtion Center,2008
530330000000000.0,1359,7532,Exhibtion Center,2009
530330000000000.0,1359,7605,Exhibtion Center,2010
530330000000000.0,1358,12789,Seattle Center,2000
530330000000000.0,1358,12913,Seattle Center,2001
530330000000000.0,1358,13038,Seattle Center,2002
530330000000000.0,1358,13164,Seattle Center,2003
530330000000000.0,1358,13292,Seattle Center,2004
530330000000000.0,1358,13421,Seattle Center,2005
530330000000000.0,1358,13551,Seattle Center,2006
530330000000000.0,1358,13682,Seattle Center,2007
530330000000000.0,1358,13815,Seattle Center,2008
530330000000000.0,1358,13949,Seattle Center,2009
530330000000000.0,1358,14084,Seattle Center,2010
