psrc_zone_id	bkr_zone_id	percent
1	1270	1
2	1270	0.99
2	1274	0.01
3	1270	0.98
3	1274	0.02
4	1270	1
5	1270	1
6	1270	0.97
6	1273	0.03
7	1270	1
8	1270	1
9	1270	0.99
9	1273	0.01
10	1270	0.99
10	1273	0.01
11	1271	1
12	1271	1
13	1271	1
14	1267	0.01
14	1271	0.99
15	1271	0.99
15	1272	0.01
16	1271	1
17	1271	0.97
17	1272	0.03
18	1271	1
19	1271	0.96
19	1272	0.04
20	1271	0.98
20	1272	0.02
21	1266	1
22	1266	0.97
22	1267	0.02
22	1271	0.01
23	1267	1
24	1267	0.98
24	1271	0.02
25	1267	0.99
25	1271	0.01
26	1268	0.01
26	1271	0.99
27	1268	0.02
27	1271	0.98
28	1270	1
29	1269	0.01
29	1270	0.99
30	1270	1
31	1270	1
32	1270	1
33	1270	1
34	1270	1
35	1269	0.01
35	1270	0.99
36	1270	1
37	1269	0.01
37	1270	0.99
38	1269	0.01
38	1270	0.99
39	1344	1
40	1269	0.94
40	1270	0.03
40	1344	0.03
41	1269	1
42	1269	0.99
42	1270	0.01
43	1269	1
44	1269	1
45	1269	1
46	1269	1
47	1268	1
48	1268	1
49	1268	0.87
49	1271	0.13
50	1267	0.95
50	1268	0.05
51	1267	1
52	1267	1
53	1267	1
54	1266	0.97
54	1267	0.03
55	1266	1
56	1266	1
57	1266	1
58	1266	0.97
58	1267	0.03
59	1267	1
60	1267	1
61	1267	1
62	1267	1
63	1267	0.95
63	1268	0.05
64	1267	1
65	1268	1
66	1268	1
67	1268	1
68	1268	1
69	1268	1
70	1268	1
71	1269	1
72	1269	1
73	1269	1
74	1269	1
75	1269	1
76	1269	1
77	1269	1
78	1269	1
79	1269	1
80	1269	1
81	1269	1
82	1269	1
83	1269	0.6
83	1344	0.4
84	1344	1
85	1344	1
86	1344	1
87	1269	0.54
87	1344	0.46
88	1269	0.99
88	1344	0.01
89	1269	1
90	1269	1
91	1269	1
92	1269	1
93	1269	1
94	1262	0.01
94	1269	0.99
95	1268	1
96	1268	1
97	1268	1
98	1264	0.14
98	1267	0.86
99	1267	1
100	1267	1
101	1267	1
102	1265	0.01
102	1266	0.97
102	1267	0.02
103	1265	0.02
103	1266	0.98
104	1266	1
105	1266	1
106	1265	0.01
106	1266	0.99
107	1265	0.01
107	1266	0.99
108	1265	1
109	1265	1
110	1265	0.99
110	1266	0.01
111	1265	1
112	1265	0.97
112	1267	0.03
113	1265	1
114	1265	0.96
114	1267	0.04
115	1265	1
116	1264	0.05
116	1265	0.93
116	1267	0.02
117	1264	0.04
117	1265	0.96
118	1264	0.96
118	1267	0.04
119	1264	1
120	1264	0.97
120	1268	0.03
121	1264	1
122	1264	1
123	1264	0.98
123	1268	0.02
124	1264	1
125	1264	0.98
125	1268	0.02
126	1262	1
127	1262	0.98
127	1269	0.02
128	1262	1
129	1261	0.02
129	1262	0.97
129	1269	0.01
130	1261	0.03
130	1262	0.97
131	1261	0.99
131	1269	0.01
132	1261	1
133	1261	0.99
133	1269	0.01
134	1261	1
135	1261	1
136	1261	1
137	1261	0.97
137	1344	0.03
138	1261	0.97
138	1344	0.03
139	1344	1
140	1344	1
141	1344	1
142	1344	1
143	1344	1
144	1344	1
145	1344	1
146	1344	1
147	1344	1
148	1344	1
149	1344	1
150	1344	1
151	1344	1
152	1343	1
153	1344	1
154	1343	0.99
154	1344	0.01
155	1343	0.98
155	1344	0.02
156	1344	1
157	1343	0.99
157	1344	0.01
158	1344	1
159	1343	1
160	1344	1
161	1343	0.99
161	1344	0.01
162	1344	1
163	1343	1
164	1344	1
165	1343	0.99
165	1344	0.01
166	1261	0.98
166	1344	0.02
167	1261	0.98
167	1343	0.02
168	1261	1
169	1261	1
170	1261	1
171	1261	1
172	1261	1
173	1261	0.98
173	1262	0.02
174	1262	1
175	1262	1
176	1262	1
177	1262	1
178	1262	1
179	1264	1
180	1264	1
181	1264	1
182	1264	1
183	1264	1
184	1264	1
185	1264	0.03
185	1265	0.97
186	1264	0.03
186	1265	0.97
187	1265	1
188	1265	1
189	1265	1
190	1265	1
191	1265	1
192	1265	1
193	1265	1
194	1265	1
195	1265	0.97
195	1266	0.03
196	1265	1
197	1265	0.88
197	1266	0.12
198	1265	1
199	1265	0.95
199	1266	0.05
200	1265	1
201	1258	0.85
201	1263	0.01
201	1266	0.14
202	1258	0.99
202	1266	0.01
203	1263	0.95
203	1265	0.05
204	1263	0.95
204	1265	0.05
205	1263	1
206	1263	0.95
206	1265	0.05
207	1263	1
208	1263	0.95
208	1265	0.05
209	1263	1
210	1263	0.96
210	1265	0.04
211	1263	1
212	1263	0.95
212	1265	0.05
213	1263	1
214	1263	0.87
214	1265	0.13
215	1263	1
216	1264	1
217	1264	1
218	1264	1
219	1264	1
220	1264	1
221	1264	1
222	1262	1
223	1262	1
224	1262	1
225	1262	1
226	1262	1
227	1262	1
228	1262	1
229	1262	1
230	1262	1
231	1261	0.99
231	1262	0.01
232	1261	1
233	1261	1
234	1261	1
235	1261	0.96
235	1343	0.04
236	1261	0.94
236	1343	0.06
237	1343	1
238	1343	1
239	1343	1
240	1343	1
241	1343	1
242	1343	1
243	1343	1
244	1343	1
245	1343	1
246	1343	1
247	1343	1
248	1343	1
249	1343	1
250	1343	1
251	1343	1
252	1343	1
253	1343	1
254	1343	1
255	1343	1
256	1343	1
257	1343	1
258	1343	1
259	1343	1
260	1343	1
261	1343	1
262	1260	0.92
262	1261	0.01
262	1343	0.07
263	1260	0.94
263	1343	0.06
264	1260	0.97
264	1261	0.03
265	1260	1
266	1260	1
267	1260	0.99
267	1261	0.01
268	1260	0.99
268	1261	0.01
269	1260	0.94
269	1262	0.06
270	1260	1
271	1262	1
272	1260	0.98
272	1262	0.02
273	1260	0.33
273	1262	0.67
274	1262	1
275	1262	1
276	1262	1
277	1262	1
278	1262	1
279	1264	1
280	1264	1
281	1264	1
282	1259	0.92
282	1264	0.08
283	1264	1
284	1259	0.95
284	1264	0.05
285	1263	0.99
285	1264	0.01
286	1259	0.05
286	1263	0.95
287	1263	1
288	1263	1
289	1263	1
290	1263	1
291	1263	1
292	1263	1
293	1263	1
294	1263	1
295	1258	0.92
295	1263	0.08
296	1258	0.98
296	1263	0.02
297	1258	1
298	1258	1
299	1258	1
300	1258	0.99
300	1259	0.01
301	1259	1
302	1259	1
303	1259	1
304	1259	0.95
304	1264	0.05
