TAZ,TAD,OldDistric,County,District,New DistrictName
1,50.0,8.0,King,6,East Side
2,50.0,8.0,King,6,East Side
3,50.0,8.0,King,6,East Side
4,50.0,8.0,King,6,East Side
5,50.0,8.0,King,6,East Side
6,50.0,8.0,King,6,East Side
7,50.0,8.0,King,6,East Side
8,50.0,8.0,King,6,East Side
9,50.0,8.0,King,6,East Side
10,50.0,8.0,King,6,East Side
11,50.0,8.0,King,6,East Side
12,50.0,8.0,King,6,East Side
13,50.0,8.0,King,6,East Side
14,50.0,8.0,King,6,East Side
15,50.0,8.0,King,6,East Side
16,47.0,8.0,King,6,East Side
17,47.0,8.0,King,6,East Side
18,50.0,8.0,King,6,East Side
19,47.0,8.0,King,6,East Side
20,50.0,8.0,King,6,East Side
21,50.0,8.0,King,6,East Side
22,50.0,8.0,King,6,East Side
23,50.0,8.0,King,6,East Side
24,50.0,8.0,King,6,East Side
25,50.0,8.0,King,6,East Side
26,50.0,8.0,King,6,East Side
27,50.0,8.0,King,6,East Side
28,50.0,8.0,King,6,East Side
29,50.0,8.0,King,6,East Side
30,50.0,8.0,King,6,East Side
31,50.0,8.0,King,6,East Side
32,50.0,8.0,King,6,East Side
33,50.0,8.0,King,6,East Side
34,50.0,8.0,King,6,East Side
35,50.0,8.0,King,6,East Side
36,50.0,8.0,King,6,East Side
37,50.0,8.0,King,6,East Side
38,50.0,8.0,King,6,East Side
39,50.0,8.0,King,6,East Side
40,50.0,8.0,King,6,East Side
41,50.0,8.0,King,6,East Side
42,50.0,8.0,King,6,East Side
43,50.0,8.0,King,6,East Side
44,50.0,8.0,King,6,East Side
45,50.0,8.0,King,6,East Side
46,50.0,8.0,King,6,East Side
47,50.0,8.0,King,6,East Side
48,50.0,8.0,King,6,East Side
49,50.0,8.0,King,6,East Side
50,50.0,8.0,King,6,East Side
51,50.0,8.0,King,6,East Side
52,50.0,8.0,King,6,East Side
53,50.0,8.0,King,6,East Side
54,50.0,8.0,King,6,East Side
55,50.0,8.0,King,6,East Side
56,50.0,8.0,King,6,East Side
57,50.0,8.0,King,6,East Side
58,50.0,8.0,King,6,East Side
59,50.0,8.0,King,6,East Side
60,50.0,8.0,King,6,East Side
61,50.0,8.0,King,6,East Side
62,50.0,8.0,King,6,East Side
63,50.0,8.0,King,6,East Side
64,50.0,8.0,King,6,East Side
65,50.0,8.0,King,6,East Side
66,50.0,8.0,King,6,East Side
67,50.0,8.0,King,6,East Side
68,50.0,8.0,King,6,East Side
69,50.0,8.0,King,6,East Side
70,50.0,8.0,King,6,East Side
71,50.0,8.0,King,6,East Side
72,50.0,8.0,King,6,East Side
73,50.0,8.0,King,6,East Side
74,50.0,8.0,King,6,East Side
75,50.0,8.0,King,6,East Side
76,50.0,8.0,King,6,East Side
77,50.0,8.0,King,6,East Side
78,50.0,8.0,King,6,East Side
79,50.0,8.0,King,6,East Side
80,50.0,8.0,King,6,East Side
81,50.0,8.0,King,6,East Side
82,50.0,8.0,King,6,East Side
83,50.0,8.0,King,6,East Side
84,50.0,8.0,King,6,East Side
85,50.0,8.0,King,6,East Side
86,51.0,8.0,King,6,East Side
87,52.0,9.0,King,6,East Side
88,50.0,8.0,King,6,East Side
89,51.0,8.0,King,6,East Side
90,51.0,8.0,King,6,East Side
91,51.0,8.0,King,6,East Side
92,51.0,8.0,King,6,East Side
93,51.0,8.0,King,6,East Side
94,51.0,8.0,King,6,East Side
95,51.0,8.0,King,6,East Side
96,51.0,8.0,King,6,East Side
97,51.0,8.0,King,6,East Side
98,51.0,8.0,King,6,East Side
99,51.0,8.0,King,6,East Side
100,51.0,8.0,King,6,East Side
101,51.0,8.0,King,6,East Side
102,51.0,8.0,King,6,East Side
103,51.0,8.0,King,6,East Side
104,51.0,8.0,King,6,East Side
105,51.0,8.0,King,6,East Side
106,51.0,8.0,King,6,East Side
107,51.0,8.0,King,6,East Side
108,51.0,8.0,King,6,East Side
109,51.0,9.0,King,6,East Side
110,51.0,9.0,King,6,East Side
111,51.0,8.0,King,6,East Side
112,51.0,9.0,King,6,East Side
113,51.0,9.0,King,6,East Side
114,51.0,9.0,King,6,East Side
115,51.0,9.0,King,6,East Side
116,51.0,9.0,King,6,East Side
117,51.0,9.0,King,6,East Side
118,51.0,9.0,King,6,East Side
119,51.0,9.0,King,6,East Side
120,53.0,9.0,King,6,East Side
121,51.0,9.0,King,6,East Side
122,51.0,9.0,King,6,East Side
123,51.0,9.0,King,6,East Side
124,51.0,9.0,King,6,East Side
125,51.0,9.0,King,6,East Side
126,51.0,9.0,King,6,East Side
127,51.0,8.0,King,6,East Side
128,51.0,9.0,King,6,East Side
129,51.0,9.0,King,6,East Side
130,51.0,9.0,King,6,East Side
131,51.0,9.0,King,6,East Side
132,51.0,9.0,King,6,East Side
133,51.0,8.0,King,6,East Side
134,51.0,8.0,King,6,East Side
135,51.0,8.0,King,6,East Side
136,51.0,8.0,King,6,East Side
137,51.0,8.0,King,6,East Side
138,51.0,8.0,King,6,East Side
139,51.0,8.0,King,6,East Side
140,51.0,8.0,King,6,East Side
141,51.0,8.0,King,6,East Side
142,51.0,8.0,King,6,East Side
143,51.0,8.0,King,6,East Side
144,51.0,8.0,King,6,East Side
145,51.0,8.0,King,6,East Side
146,51.0,8.0,King,6,East Side
147,51.0,8.0,King,6,East Side
148,51.0,8.0,King,6,East Side
149,51.0,8.0,King,6,East Side
150,51.0,8.0,King,6,East Side
151,51.0,8.0,King,6,East Side
152,51.0,8.0,King,6,East Side
153,51.0,8.0,King,6,East Side
154,51.0,8.0,King,6,East Side
155,51.0,8.0,King,6,East Side
156,51.0,8.0,King,6,East Side
157,51.0,8.0,King,6,East Side
158,51.0,8.0,King,6,East Side
159,51.0,8.0,King,6,East Side
160,51.0,8.0,King,6,East Side
161,51.0,8.0,King,6,East Side
162,51.0,8.0,King,6,East Side
163,51.0,8.0,King,6,East Side
164,51.0,8.0,King,6,East Side
165,51.0,8.0,King,6,East Side
166,51.0,8.0,King,6,East Side
167,51.0,8.0,King,6,East Side
168,51.0,8.0,King,6,East Side
169,51.0,8.0,King,6,East Side
170,51.0,8.0,King,6,East Side
171,51.0,8.0,King,6,East Side
172,51.0,8.0,King,6,East Side
173,51.0,8.0,King,6,East Side
174,51.0,8.0,King,6,East Side
175,51.0,8.0,King,6,East Side
176,51.0,8.0,King,6,East Side
177,51.0,8.0,King,6,East Side
178,51.0,8.0,King,6,East Side
179,51.0,8.0,King,6,East Side
180,51.0,8.0,King,6,East Side
181,51.0,8.0,King,6,East Side
182,51.0,8.0,King,6,East Side
183,50.0,8.0,King,6,East Side
184,51.0,8.0,King,6,East Side
185,50.0,8.0,King,6,East Side
186,51.0,8.0,King,6,East Side
187,51.0,8.0,King,6,East Side
188,51.0,8.0,King,6,East Side
189,51.0,8.0,King,6,East Side
190,51.0,8.0,King,6,East Side
191,47.0,8.0,King,6,East Side
192,47.0,8.0,King,6,East Side
193,47.0,8.0,King,6,East Side
194,47.0,8.0,King,6,East Side
195,47.0,8.0,King,6,East Side
196,47.0,8.0,King,6,East Side
197,47.0,8.0,King,6,East Side
198,47.0,8.0,King,6,East Side
199,47.0,8.0,King,6,East Side
200,47.0,8.0,King,6,East Side
201,47.0,8.0,King,6,East Side
202,47.0,8.0,King,6,East Side
203,47.0,8.0,King,6,East Side
204,47.0,8.0,King,6,East Side
205,47.0,8.0,King,6,East Side
206,47.0,8.0,King,6,East Side
207,47.0,8.0,King,6,East Side
208,47.0,8.0,King,6,East Side
209,47.0,8.0,King,6,East Side
210,47.0,8.0,King,6,East Side
211,47.0,8.0,King,6,East Side
212,47.0,8.0,King,6,East Side
213,47.0,8.0,King,6,East Side
214,48.0,8.0,King,6,East Side
215,51.0,9.0,King,6,East Side
216,48.0,8.0,King,6,East Side
217,48.0,8.0,King,6,East Side
218,48.0,8.0,King,6,East Side
219,48.0,8.0,King,6,East Side
220,48.0,8.0,King,6,East Side
221,48.0,8.0,King,6,East Side
222,48.0,8.0,King,6,East Side
223,48.0,8.0,King,6,East Side
224,48.0,8.0,King,6,East Side
225,48.0,8.0,King,6,East Side
226,48.0,8.0,King,6,East Side
227,51.0,9.0,King,6,East Side
228,51.0,9.0,King,6,East Side
229,51.0,9.0,King,6,East Side
230,51.0,9.0,King,6,East Side
231,51.0,9.0,King,6,East Side
232,51.0,9.0,King,6,East Side
233,51.0,9.0,King,6,East Side
234,51.0,9.0,King,6,East Side
235,51.0,9.0,King,6,East Side
236,48.0,8.0,King,6,East Side
237,48.0,8.0,King,6,East Side
238,48.0,8.0,King,6,East Side
239,48.0,8.0,King,6,East Side
240,48.0,8.0,King,6,East Side
241,48.0,8.0,King,6,East Side
242,48.0,8.0,King,6,East Side
243,48.0,8.0,King,6,East Side
244,48.0,8.0,King,6,East Side
245,48.0,8.0,King,6,East Side
246,48.0,8.0,King,6,East Side
247,51.0,9.0,King,6,East Side
248,51.0,9.0,King,6,East Side
249,51.0,9.0,King,6,East Side
250,51.0,9.0,King,6,East Side
251,48.0,8.0,King,6,East Side
252,48.0,8.0,King,6,East Side
253,48.0,8.0,King,6,East Side
254,48.0,8.0,King,6,East Side
255,48.0,8.0,King,6,East Side
256,48.0,8.0,King,6,East Side
257,48.0,8.0,King,6,East Side
258,48.0,8.0,King,6,East Side
259,48.0,8.0,King,6,East Side
260,48.0,8.0,King,6,East Side
261,48.0,8.0,King,6,East Side
262,48.0,8.0,King,6,East Side
263,48.0,8.0,King,6,East Side
264,48.0,8.0,King,6,East Side
265,48.0,8.0,King,6,East Side
266,48.0,8.0,King,6,East Side
267,48.0,8.0,King,6,East Side
268,48.0,8.0,King,6,East Side
269,48.0,8.0,King,6,East Side
270,48.0,8.0,King,6,East Side
271,48.0,8.0,King,6,East Side
272,48.0,8.0,King,6,East Side
273,48.0,8.0,King,6,East Side
274,48.0,8.0,King,6,East Side
275,48.0,8.0,King,6,East Side
276,48.0,8.0,King,6,East Side
277,48.0,8.0,King,6,East Side
278,48.0,8.0,King,6,East Side
279,48.0,8.0,King,6,East Side
280,48.0,8.0,King,6,East Side
281,48.0,8.0,King,6,East Side
282,47.0,8.0,King,6,East Side
283,48.0,8.0,King,6,East Side
284,48.0,8.0,King,6,East Side
285,47.0,8.0,King,6,East Side
286,48.0,8.0,King,6,East Side
287,48.0,8.0,King,6,East Side
288,48.0,8.0,King,6,East Side
289,48.0,8.0,King,6,East Side
290,48.0,8.0,King,6,East Side
291,48.0,8.0,King,6,East Side
292,48.0,8.0,King,6,East Side
