OBJECTID,Join_Count,TARGET_FID,Join_Count_1,TARGET_FID_1,ID,SRID,ARM,Year_2010,Direction_,Location,LOC_ERROR,estimated,PSRCEdgeID,Oneway,HOV_I,HOV_J,NewINode,NewJNode,Shape_Length,key,key_hov
1,1,300,1,5,4498,522,4.21,32000,Bothways,"Before Milepost 4.22 A: RIGHT INTERSECTION NE 145TH ST,  LEFT INTERSECTION SR 523-NE 145TH ST",NO ERROR,32000.69556,16993,2,194865,194866,58459,58835,660.3580689,58459-58835,194865-194866
2,1,273,1,20,2427,99,34.17,30000,Bothways,Before Milepost 40.44 A: RIGHT WYE CONNECTION N ROOSEVELT WAY,NO ERROR,18432.155,202297,2,194897,194872,58318,58621,549.9829216,58318-58621,194897-194872
3,1,266,1,31,1853,99,43.93,30000,Bothways,Before Milepost 50.21 A: LEFT WYE CONNECTION 148TH ST SW,NO ERROR,33434.33307,213377,2,194917,194918,33943,35110,2430.957527,33943-35110,194917-194918
4,1,304,1,38,4392,522,7.2,44000,Bothways,Before Milepost 7.21 A: BOTHWAYS INTERSECTION 68TH AVE NE,NO ERROR,39425.355,202101,2,195298,195299,54170,54134,547.1356314,54170-54134,195298-195299
5,1,269,1,47,2431,99,40.55,30000,Bothways,Before Milepost 46.83 A: LEFT WYE CONNECTION SR 524,NO ERROR,22026.20148,213773,2,195318,195316,41875,41731,393.7560548,41875-41731,195318-195316
6,1,195,1,70,3658,304,0.25,28000,Bothways,After Milepost 0.19 A: LEFT OFF RAMP SR 3 NB,NO ERROR,32284.76144,201257,2,195364,195290,98303,97079,3101.51319,98303-97079,195364-195290
7,1,294,1,100,2840,104,28.81,44000,Bothways,"After Milepost 29.33 A: RIGHT INTERSECTION 5TH AVE NE,  LEFT ENTRANCE/EXIT NILE TEMPLE",NO ERROR,37372.68958,9581,2,0,0,50415,50421,360.8110594,50415-50421,0-0
8,1,282,1,143,6801,099R103203,0.04,1900,South Bound,On R1 RAMP (SR 99 SB TO WESTERN AVE) After LEFT INTERSECTION SR 99 SB,NO ERROR,5601.790283,5928,0,0,0,84251,84364,282.2924541,84251-84364,0-0
9,1,20,2,154,556,5,214.65,56000,Bothways,Before Milepost 214.61 A: LEFT ON RAMP 300TH ST NW,NO ERROR,54830.47363,8277,0,0,0,5304,6817,10661.24438,5304-6817,0-0
10,1,668,1,1375,2967,166,2.87,14000,Bothways,Before Milepost 2.90 A: BOTHWAYS INTERSECTION SIDNEY AVE,NO ERROR,10364.38817,111411,2,0,0,99775,99880,393.8342597,99775-99880,0-0
11,1,667,1,1376,2966,166,2.89,17000,Bothways,After Milepost 2.90 A: BOTHWAYS INTERSECTION SIDNEY AVE,NO ERROR,11656.70782,111412,2,0,0,99915,99880,402.2433563,99915-99880,0-0
12,1,649,1,1601,3000,163,1.71,11000,Bothways,"After Milepost 1.70 A: CENTER INTERSECTION MED XROAD,  BOTHWAYS INTERSECTION N 37TH ST",NO ERROR,11415.01161,140391,2,0,0,144241,143801,885.5883759,144241-143801,0-0
13,1,372,1,1707,2292,92,5.27,12000,Bothways,After Milepost 5.26 A: LEFT INTERSECTION 75TH ST NE,NO ERROR,12066.98581,164321,2,0,0,16162,16117,270.0570135,16162-16117,0-0
14,1,393,1,1740,4759,529,1.45,4700,Bothways,Before Milepost 1.46 A: LEFT INTERSECTION W MARINE VIEW DR,NO ERROR,5415.532501,168596,2,0,0,21218,21220,346.7732504,21218-21220,0-0
15,1,554,1,1864,4837,525,8.51,9800,Bothways,Before Milepost 8.35 A: RIGHT INTERSECTION 2ND ST,NO ERROR,8346.678467,193678,2,0,0,24036,24140,333.559137,24036-24140,0-0
